id,created_at,text
1255820184515944400,Thu Apr 30 11:23:58 +0000 2020,RT @TheDaVinciVirus: Chapter 72  Celeste drew back the tapestry to reveal an old man at the controls of a huge machine. Suddenly the Pope v…
1163357648026312700,Mon Aug 19 07:50:52 +0000 2019,If you don’t set the tone for the day, the Devil will set it for you. You’ve got zumba at two. #MondayMotivation
1163164608443666400,Sun Aug 18 19:03:47 +0000 2019,The greatest trick the Devil ever pulled was convincing you he’d got your nose. He’s terrible at magic.
1163144630722076700,Sun Aug 18 17:44:24 +0000 2019,Oh no, @Dawn_French dear - we might stick red hot pokers up our residents but we would never do that to our scones! https://t.co/4QuGq5NKRU
1163126331007209500,Sun Aug 18 16:31:41 +0000 2019,Hey! What did we ever do to you? https://t.co/N0CaZYqTyV
1162454952092086300,Fri Aug 16 20:03:52 +0000 2019,In Hell, every pub is a Wetherspoons.
1162420116015001600,Fri Aug 16 17:45:27 +0000 2019,We were going to call our new daughter Greta just to wind up all the right-wing, middle-aged millionaires. Then we… https://t.co/ecC4sBrIkg
1162364985693155300,Fri Aug 16 14:06:22 +0000 2019,Devilled eggs again - I wish my husband would use a condom.
1162265776113377300,Fri Aug 16 07:32:09 +0000 2019,#FridayFeeling Devil-may-care! https://t.co/vnWJVIcHA5
1161983611811311600,Thu Aug 15 12:50:56 +0000 2019,I’m sorry @JeremyClarkson dear but I’m afraid you won’t be able to stay here after all - we do have our standards! https://t.co/ZeihurqXOb
1161976645374414800,Thu Aug 15 12:23:15 +0000 2019,Don’t worry if you didn’t get the A Level grades you were hoping for today - my husband only got an E in Media Stud… https://t.co/r8R2ynZk4E
1161726929189396500,Wed Aug 14 19:50:58 +0000 2019,@MrFingerbobs @MrsStephenFry Out of interest, dear, are you still in touch with Toni Arthur? You two (along with Br… https://t.co/AG2ZLazLQp
1161689927840620500,Wed Aug 14 17:23:56 +0000 2019,@revalismith @MrsStephenFry Perhaps it’s time for you to tell them you adopted them, dear?
1161686572816879600,Wed Aug 14 17:10:36 +0000 2019,We had to tell our son he’s adopted last night. He isn’t, but there was nothing on TV.
1161685497808400400,Wed Aug 14 17:06:20 +0000 2019,This is all very well but has she stopped to consider how it might affect my husband’s global warming business? https://t.co/xgROkMYFLc
1161371507974647800,Tue Aug 13 20:18:39 +0000 2019,He’s not the Antichrist, he’s a very naughty boy!
1161370648578576400,Tue Aug 13 20:15:14 +0000 2019,That’s not my husband! That’s our Domino’s delivery boy, Wayne! (Always forgets the garlic bread) https://t.co/hgzKttSRDn
1161368492328796200,Tue Aug 13 20:06:40 +0000 2019,My husband says if this tweet gets exactly 666 retweets, it’s definitive proof of his existence and increasing infl… https://t.co/uDozR2xhql
1161350035944235000,Tue Aug 13 18:53:20 +0000 2019,Jesus may be able to turn water into wine, but only my husband can turn it into rhubarb and elderflower gin.
1161347207691427800,Tue Aug 13 18:42:05 +0000 2019,Whenever my husband’s a bit down, he asks himself ‘What would Jesus do?’ And when he’s finished laughing, he feels just fine!
1161344893773594600,Tue Aug 13 18:32:54 +0000 2019,People keep saying there’s a special place in Hell for @KTHopkins but to be honest it’s really just a mattress in a skip behind Lidl.
1161342858315653000,Tue Aug 13 18:24:48 +0000 2019,Our Damien dissected a frog in class today - we were really proud but his geography teacher wasn’t very happy.
1161340824921288700,Tue Aug 13 18:16:43 +0000 2019,We’ve got the neighbours from Hell. And so have they. And so has everyone round here. It’s quite nice, really . .
1161338391461552000,Tue Aug 13 18:07:03 +0000 2019,Hell - proud to be carbon neutral since 6,000,000 BC
1161243637717590000,Tue Aug 13 11:50:32 +0000 2019,Here in Hell, we do have left-handed scissors - but only for right-handed people. #LeftHandersDay
1161234029577982000,Tue Aug 13 11:12:21 +0000 2019,My husband would like to point out that left-handed people are not the servants of Satan. For tax purposes, they’re… https://t.co/UqZA1pV4op
1161231799630139400,Tue Aug 13 11:03:30 +0000 2019,My husband would like to wish 10% of you a happy #LeftHandersDay - he says you’re welcome!
1161011158171693000,Mon Aug 12 20:26:45 +0000 2019,Just between you and me, my husband doesn’t really like heavy metal - he’s more of an Enya fan.
1161000698454184000,Mon Aug 12 19:45:11 +0000 2019,A few more things my husband created . . .  War Floods Monday Mornings Hawaiian pizza Hipsters Toasters that leave… https://t.co/rpURHtgzoR
1160907151285641200,Mon Aug 12 13:33:28 +0000 2019,I don’t believe in physical intimacy before marriage. On reflection, it probably didn’t help saying ‘Get thee behind me, Satan’.
1160904873623339000,Mon Aug 12 13:24:25 +0000 2019,My husband takes many forms. He loves paperwork.
1160902125678932000,Mon Aug 12 13:13:29 +0000 2019,No need, dear. We have an excellent bus service - just take the 66b! https://t.co/NETA9skvaL
1160900928364580900,Mon Aug 12 13:08:44 +0000 2019,Not going to Hell! #MondayMotivation
1160305651928699000,Sat Aug 10 21:43:19 +0000 2019,Goodnight dears, I have to get up early for church in the morning. (My husband will be having his usual Sunday lie-… https://t.co/9pN7yRy08G
1160303436665184300,Sat Aug 10 21:34:31 +0000 2019,RT @MrsSatantweets: My husband is known by many names; Lucifer, Beelzebub, Mephistopheles . . . but I just call him Kevin.
1160302852130164700,Sat Aug 10 21:32:11 +0000 2019,@sfxbecks Exactly, dear! You’ll make a first class third class demon in no time!
1160302438458507300,Sat Aug 10 21:30:33 +0000 2019,@MrFingerbobs @MrsStephenFry I’m sorry, dear -  he says he’d love to but Daniel Levy is far more evil than he is.
1160301380336267300,Sat Aug 10 21:26:21 +0000 2019,@krgilchrist71 He says please stay on the line, your call is very important to him . . .
1160296625316749300,Sat Aug 10 21:07:27 +0000 2019,My husband has asked me to point out that, contrary to popular belief, 666 is not the number of the Beast. It’s act… https://t.co/25RVEr96pK
1160292852666110000,Sat Aug 10 20:52:27 +0000 2019,@BTdeJong1 And that’s why we love you so much here in Hell, Bert - always with the jokes!
1160287179341480000,Sat Aug 10 20:29:55 +0000 2019,My husband would like to point out that the recent mass shootings in America are not the result of social media or… https://t.co/r039zFkQak
1160283629328699400,Sat Aug 10 20:15:48 +0000 2019,@MrFingerbobs @MrsStephenFry Hence your statue in our town square. Just next to the Starbucks.
1160283082760609800,Sat Aug 10 20:13:38 +0000 2019,@MrFingerbobs @MrsStephenFry Yes dear, but he couldn’t stick a finger up a mouse like you!
1160250052373336000,Sat Aug 10 18:02:23 +0000 2019,Luckily there’s no shortage of them around here . .
1160248620412821500,Sat Aug 10 17:56:42 +0000 2019,I hope Mr and Mrs God like my Vegan casserole - I’m never quite sure how long you’re supposed to cook Vegans.
1160243639240528000,Sat Aug 10 17:36:54 +0000 2019,Damien’s just a slow developer, alright?!!
1160242272761520000,Sat Aug 10 17:31:28 +0000 2019,I wouldn’t mind but all they do is go on about their precious son, ‘Our Jesus just said his first word’, ‘Our Jesus… https://t.co/YwYlQO1VZ8
1160236428787363800,Sat Aug 10 17:08:15 +0000 2019,Don’t know why my husband invited Mr and Mrs God round for dinner tonight - they’re so holier than thou.
1160213967672926200,Sat Aug 10 15:39:00 +0000 2019,Some more things my husband created . . .  Poverty Syphilis Sporks Living statues iPhone batteries  Jennifer Aniston
1160207095314169900,Sat Aug 10 15:11:41 +0000 2019,Our new neighbour’s such a lovely man - he’s only just arrived and he’s already offered to babysit for us! Jeffrey,… https://t.co/agP0t4ge1w
1159905310720569300,Fri Aug 09 19:12:30 +0000 2019,Some other things my husband created . . .  Guns Nazis Racism Emojis Lunchables Build-a-Bear
1159900974254829600,Fri Aug 09 18:55:16 +0000 2019,I’m sorry, dear, my husband designed that house when he was an architect. Before he got a job as a health and safet… https://t.co/UJFjKGNbNs
1159897722876563500,Fri Aug 09 18:42:21 +0000 2019,When people ask me what Hell’s like, I tell them it’s like post-Brexit Britain. Only nicer.
1159882626653720600,Fri Aug 09 17:42:22 +0000 2019,What a coincidence, my husband owns all these companies! https://t.co/sh44UsU7ha
1159880345120100400,Fri Aug 09 17:33:18 +0000 2019,Have a lovely weekend, everybody - don’t do anything my husband wouldn’t do!
1159870778617282600,Fri Aug 09 16:55:17 +0000 2019,My husband is known by many names; Lucifer, Beelzebub, Mephistopheles . . . but I just call him Kevin.
1159867775898267600,Fri Aug 09 16:43:21 +0000 2019,To be honest, Hell isn’t the most peaceful place to live - what with all the wailing, gnashing of teeth and wind chimes.
1159828893513109500,Fri Aug 09 14:08:51 +0000 2019,The Devil makes work for idle hands - mostly shadow puppetry. https://t.co/wZfJwghKll
1159827192513101800,Fri Aug 09 14:02:05 +0000 2019,@mkibsen @50NerdsofGrey Nothing, dear, it’s one of my husband’s biggest earners!
1159826663271612400,Fri Aug 09 13:59:59 +0000 2019,Think I’d better have a word with Mrs God - looks like her hubby’s been on the wacky baccy again . . . https://t.co/co6z3CPBS2
1159788721241251800,Fri Aug 09 11:29:13 +0000 2019,Hell is other people’s children.
1159783764572168200,Fri Aug 09 11:09:31 +0000 2019,Some of the things my husband created . . .  Plague Pestilence Famine Hygge Facebook Brexit
1159778321057689600,Fri Aug 09 10:47:54 +0000 2019,We’ve got an IKEA here in Hell - you walk slowly round and round inside it for all eternity with no daylight or hop… https://t.co/FmDrx1vWki
1159579701897306000,Thu Aug 08 21:38:39 +0000 2019,Have to say the neighbourhood’s really gone downhill since @piersmorgan moved in.
1159575126012248000,Thu Aug 08 21:20:28 +0000 2019,Just baked my husband’s favourite for dinner, Sheeran and Winfrey Pie - with Mother Theresa curly fries and a Greta… https://t.co/eZ0ghzF5uj
1096506867449249800,Fri Feb 15 20:29:43 +0000 2019,@jswhit4d @MrsStephenFry Not in proper English
1096506867449249800,Fri Feb 15 20:29:43 +0000 2019,@jswhit4d @MrsStephenFry Not in proper English
