id,created_at,text
1261068576884220000,Thu May 14 22:59:12 +0000 2020,This is banana republic stuff....Surely the WH will soon weigh in that these are "good people." https://t.co/hl32kQomEi
1261068075178299400,Thu May 14 22:57:13 +0000 2020,RT @Cecalli_Helper: This is outrageous! @SenSanders @StateDept @TheJusticeDept @NAACP @ACLU https://t.co/Sx4KfCTRmq
1261066747475628000,Thu May 14 22:51:56 +0000 2020,RT @Sara__Firth: Look at the level of anger American reporter @KevinVesey faced from members of the public while covering a rally.  As a jo…
1261065864373248000,Thu May 14 22:48:26 +0000 2020,RT @FollowAlisonT: Join us on Tuesday at 11 NY to discuss 🦠 and dystopian fiction on the next Breaking the Fever webinar with @EthicalSyste…
1261065341645533200,Thu May 14 22:46:21 +0000 2020,RT @RCarranza_: He thinks that all of us — doctors, nurses, essential workers, the jobless and the poor, ordinary Americans, the 84,000 who…
1261040159249911800,Thu May 14 21:06:17 +0000 2020,RT @EstoniaUN: 🗓️ On 15 May at #UNSC   👥 Annual discussion on the working methods of @UN #SecurityCouncil on the state of play &amp; ways to en…
1261016367412756500,Thu May 14 19:31:45 +0000 2020,RT @EstoniaUN: #UNSC press elements 📄 on #Yemen   #UNSC emphasised their steadfast support for the Special Envoy Griffiths &amp; his efforts to…
1260978005217808400,Thu May 14 16:59:18 +0000 2020,RT @TheUNTimes: "We have a once in a lifetime opportunity to prove that the world is more than just a collection of individual countries wi…
1260948204868317200,Thu May 14 15:00:53 +0000 2020,Sadly predictable. https://t.co/SkVtnBu8V4
1260947740818841600,Thu May 14 14:59:03 +0000 2020,In UN Security Council on Yemen, @franceonu welcomes the coalition decision to cease attacks within Yemen for anoth… https://t.co/YFxlUKSYAz
1260945421733695500,Thu May 14 14:49:50 +0000 2020,In UN Security Council briefings on Yemen, @SVG_UN cites the "two fronts" of misery for Yemen -- war and pandemic.… https://t.co/7KNAci5dHO
1260944786002976800,Thu May 14 14:47:18 +0000 2020,In UN Security Council briefings on Yemen, @BelgiumUN expresses concern about the "perfect storm" that continues to… https://t.co/3yFZqMwqFM
1260943256474484700,Thu May 14 14:41:14 +0000 2020,In UN Security Council briefings on Yemen, @UKUN_NewYork reminds that calls for greater donor support are most like… https://t.co/v78tG1zIaG
1260942413813735400,Thu May 14 14:37:53 +0000 2020,In UN Security Council briefings on Yemen, @UKUN_NewYork notes the Ramadan suffering exacerbated by COVID-19 infect… https://t.co/PjiUWtEbh2
1260941836690043000,Thu May 14 14:35:35 +0000 2020,In UN Security Council briefings on Yemen, @UNOCHA  ASG Rajasingham notes the economic hardship facing the many "da… https://t.co/ZxezBBwVWy
1260941196203090000,Thu May 14 14:33:02 +0000 2020,In UN Security Council briefings on Yemen, @UNOCHA  ASG Rajasingham laments that funding deficits may require a shu… https://t.co/ZlOQjN9vtg
1260940651560083500,Thu May 14 14:30:53 +0000 2020,In UN Security Council briefings on Yemen, @UNOCHA  ASG Rajasingham assures we are doing everything we can to "stay… https://t.co/MnQPPnOjlS
1260939632755249200,Thu May 14 14:26:50 +0000 2020,In UN Security Council briefings on Yemen, @UNOCHA  ASG Rajasingham cites "stigmas" that might be preventing some Y… https://t.co/4BTzkuus0Z
1260938973960179700,Thu May 14 14:24:13 +0000 2020,Flyovers need to stop.  Immediately. https://t.co/smA7tW1FL6
1260938100919935000,Thu May 14 14:20:45 +0000 2020,In UN Security Council (VTC) briefings on Yemen, Special Envoy Griffiths highlights a potential future for Yemen wh… https://t.co/9G4L81Gnw9
1260937222141948000,Thu May 14 14:17:15 +0000 2020,In UN Security Council (VTC) briefings on Yemen, Special Envoy Griffiths seeks higher levels of trust towards the f… https://t.co/gVg5qOxT1u
1260936605717729300,Thu May 14 14:14:48 +0000 2020,RT @FlorianKrampe: Great session now led by @CedricdeConing on 'UN #PeaceOperations and #COVID19'.  Excellent panel with Mohamed Ibn Chamba…
1260936547135828000,Thu May 14 14:14:34 +0000 2020,In UN Security Council (VTC) briefings on Yemen, Special Envoy Griffiths highlights the extraordinary risks assumed… https://t.co/jeFOexI1I9
1260936176359354400,Thu May 14 14:13:06 +0000 2020,In UN Security Council (VTC) briefings on Yemen, Special Envoy Griffiths insists that the "people of Yemen are righ… https://t.co/M3oeRVA2F8
1260935834930380800,Thu May 14 14:11:44 +0000 2020,In UN Security Council (VTC) briefings on Yemen, Special Envoy Griffiths "expects" that the parties can move forwar… https://t.co/Wn8iVHMrZ1
1260935412480184300,Thu May 14 14:10:04 +0000 2020,In UN Security Council (VTC) briefings on Yemen, Special Envoy Griffiths notes that a cease fire for the country is… https://t.co/EwPuDUz6ll
1260935042836000800,Thu May 14 14:08:35 +0000 2020,In UN Security Council (VTC) briefings on Yemen, Special Envoy Griffiths shares "hope instead of success," cites th… https://t.co/0CPVEB4nPo
1260933173988352000,Thu May 14 14:01:10 +0000 2020,Soon to begin in UN Security Council (VTC) briefings on Yemen by Special Envoy Griffiths, @UNOCHA ASG Rajasingham a… https://t.co/CSkpIjcY4J
1260932549640990700,Thu May 14 13:58:41 +0000 2020,RT @WJeffreyBrown: This is how a political operative communicates, not a legitimate journalist. https://t.co/BXOuV9oBM9
1260695811018707000,Wed May 13 22:17:58 +0000 2020,RT @wef: COVID-19: Why restructuring Argentina’s debt is so significant https://t.co/k6SAV52H8t #Argentina #Economics https://t.co/6aZo7r8O…
1260695086498807800,Wed May 13 22:15:05 +0000 2020,RT @DrWaheedArian: "She will be strong!" https://t.co/EW0GF8EK7Q
1260572675556225000,Wed May 13 14:08:40 +0000 2020,RT @JoeEEnglish: 💔💔💔 https://t.co/SQiEoaLNfk
1260571997970595800,Wed May 13 14:05:59 +0000 2020,RT @ishaantharoor: One of the perks of not being a politics beat reporter is that you can talk about politics with this kind of clarity htt…
1260565052198916000,Wed May 13 13:38:23 +0000 2020,At today's UN Town Hall focused on "the future youth want," noting welcome changes in the "global mood" in light of… https://t.co/H39EDHQ1tu
1260564128361521200,Wed May 13 13:34:43 +0000 2020,RT @Jacquiecharles: Director of #Haiti’s prison said this morning they are awaiting #COVIDー19 tests following a fever epidemic in Haiti’s p…
1260564002725400600,Wed May 13 13:34:13 +0000 2020,At today's UN Town Hall focused on "the future youth want," @QatarAtUN  (co-facilitator) describes the status of UN… https://t.co/CN5B3P8OqX
1260563448779473000,Wed May 13 13:32:00 +0000 2020,At today's UN Town Hall focused on "the future youth want," @SwedenUN (co-facilitator) reminds that the UN75 Declar… https://t.co/gsCvRE6pjM
1260561824707219500,Wed May 13 13:25:33 +0000 2020,At today's UN Town Hall focused on "the future youth want," @UNYouthEnvoy, @SwedenUN and @QatarAtUN, noting primary… https://t.co/nmgY0N7q81
1260560903805776000,Wed May 13 13:21:54 +0000 2020,Logged in now to today's Town Hall focused on the future youth want hosted by @UNYouthEnvoy, @SwedenUN and… https://t.co/sHKSEIOHJO
1260558997784051700,Wed May 13 13:14:19 +0000 2020,RT @ILO_NewYork: 🚨LIVE NOW 🚨 Join @UNYouthEnvoy @SwedenUN @QatarAtUN and tell the world leaders the future YOU want! 1⃣ Join the #YouthTown…
1260558781513175000,Wed May 13 13:13:28 +0000 2020,The UN Committee of Experts on Public Administration is now meeting "live" on VTC.  I have learned much from sittin… https://t.co/MYOTPi8TPW
1260546696590868500,Wed May 13 12:25:26 +0000 2020,RT @ANDPANDP4: ROHINGYA SISTER FROM ( IDP ) CAMP Sittway Akyab Myanmar   PLEASE HELP NGO COMMUNITY.  By Report ANDP Publics Community Dhaka…
1260374653031374800,Wed May 13 01:01:48 +0000 2020,Wednesday at UN, under the auspices of @UN_PGA, Youth Input to the UN Member States Declaration for the UN 75th Ann… https://t.co/9ynravRodt
1260348069645820000,Tue May 12 23:16:10 +0000 2020,RT @EstoniaUN: Joint stakeout by 🇧🇪 🇪🇪 🇩🇪 🇫🇷 🇵🇱 🇬🇧 after #UNSC informal meeting on Syria chemical weapons:   We strongly condemn the use of…
1260251231085355000,Tue May 12 16:51:22 +0000 2020,RT @TheUNTimes: This is @KerstiKaljulaid today, President of Estonia, celebrating #InternationalNursesDay by donating blood.  Estonia holds…
1260240641084272600,Tue May 12 16:09:17 +0000 2020,Racist hacking and robust responses in the US heartland:  https://t.co/UuUzTcHGXp
1260237307170492400,Tue May 12 15:56:02 +0000 2020,Session n the UN Security Council (VTC) on the situation in Iraq (@UNIraq) has ended.  Legitimate concerns raised a… https://t.co/FvgoWK9v8z
1260236847227306000,Tue May 12 15:54:13 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @RussiaUN wants to know how ISIS is "exploiting" C… https://t.co/xhjFIoJVK8
1260236166290460700,Tue May 12 15:51:30 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @iraq_un seeks "friendly relations" with its neigh… https://t.co/kLwJOxRT1j
1260235130532171800,Tue May 12 15:47:23 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @iraq_un announces an "expert committee" to provid… https://t.co/Mcq8EmsmNV
1260234637558890500,Tue May 12 15:45:26 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @iraq_un pledges a full investigation of violence… https://t.co/nDczrq9CBQ
1260234187388395500,Tue May 12 15:43:38 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @iraq_un seeks an end to any options for using Ira… https://t.co/hrtCYLoQ4I
1260233665331814400,Tue May 12 15:41:34 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @iraq_un insists that all Iraqis will work togethe… https://t.co/woiU3vqqBg
1260232628298539000,Tue May 12 15:37:27 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @EstoniaUN urges action to ensure that ISIS cannot… https://t.co/saL73SeGdw
1260232214199111700,Tue May 12 15:35:48 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @EstoniaUN urges all political actors to "put thei… https://t.co/PhqDlras5N
1260231317024882700,Tue May 12 15:32:14 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @GermanyUN cites recent threats to the work of NGO… https://t.co/rKSBmsbkUq
1260230728886952000,Tue May 12 15:29:54 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @GermanyUN urges the appointment of women to gover… https://t.co/ZKKZQ6zBRp
1260230208415809500,Tue May 12 15:27:50 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @DominicanRepUN urges initiative by @UNIraq  to he… https://t.co/iemcszZSUS
1260229618365272000,Tue May 12 15:25:29 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @DominicanRepUN urges the new government to "meet… https://t.co/fHtOaRQfPg
1260229084774387700,Tue May 12 15:23:22 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @Chinamission2un underscores the role of the inter… https://t.co/jUazahNfgI
1260228061527773200,Tue May 12 15:19:18 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @Chinamission2un seeks a "helping hand" for Iraq t… https://t.co/Ku9pEtJAcz
1260227602528252000,Tue May 12 15:17:28 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @BelgiumUN notes the value of transitional justice… https://t.co/QkPiccC5fg
1260227082661101600,Tue May 12 15:15:25 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @BelgiumUN notes that freedom of expression is "cr… https://t.co/KySP9XeLfg
1260226696554446800,Tue May 12 15:13:52 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @BelgiumUN urges attention by the new government t… https://t.co/AjITvAdtw8
1260226138925944800,Tue May 12 15:11:40 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @UKUN_NewYork reasserts the priority of ensuring t… https://t.co/wxbrcTqLjd
1260225355236999200,Tue May 12 15:08:33 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @UKUN_NewYork urges rapid formation of a new gover… https://t.co/r4CYYpH9MN
1260224566875631600,Tue May 12 15:05:25 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @SVG_UN urges "appropriate mechanisms and laws" to… https://t.co/7oNFJbTYD6
1260223216930431000,Tue May 12 15:00:03 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @Niger_ONU seeks a united front of reform for Iraq… https://t.co/VnHwf5bOkc
1260222711411998700,Tue May 12 14:58:02 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @Niger_ONU mourns "senseless attacks" on peacekeep… https://t.co/lQjQCsugMr
1260221737041563600,Tue May 12 14:54:10 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @VietNam_UN cites achievement by Iraq of minimizin… https://t.co/ZjEc7ShcEl
1260220659852103700,Tue May 12 14:49:53 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @SAMissionNY highlights the fine work of… https://t.co/bAqYM16bhN
1260220255667880000,Tue May 12 14:48:17 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @SAMissionNY insists that "fractured government po… https://t.co/HdcVR3fohE
1260219736295723000,Tue May 12 14:46:13 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @SAMissionNY mourns the fresh loss of Chad peaceke… https://t.co/D0QHXsFlu7
1260219016758640600,Tue May 12 14:43:21 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @RussiaUN warns "external players" to attempt to "… https://t.co/unQZqkDQmU
1260218027490128000,Tue May 12 14:39:26 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @PmTunisia highlights security concerns, including… https://t.co/SJHAkNAndX
1260217316891144200,Tue May 12 14:36:36 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @indonesiaunny seeks "durable solutions for intern… https://t.co/gxcgmjISRv
1260216675988902000,Tue May 12 14:34:03 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @indonesiaunny notes that our "efforts will not be… https://t.co/QdK0F3jgFf
1260215643653263400,Tue May 12 14:29:57 +0000 2020,RT @Cecalli_Helper: Live broadcast Fauci now https://t.co/Bf01uiFuTb
1260215504947613700,Tue May 12 14:29:24 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @franceonu notes the urgency of ramping up COVID-1… https://t.co/RdLBzkEidN
1260215115233857500,Tue May 12 14:27:51 +0000 2020,RT @YvetteKotova: ACAT_France: RT FIACAT_org: 🎉📅 Sortie du rapport d'activité de l'année 2019 de la FIACAT_org   🔎 Découvrez les actions de…
1260215045763608600,Tue May 12 14:27:35 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @franceonu highlights the need to combat corruptio… https://t.co/kzk8KjKCfz
1260213811593740300,Tue May 12 14:22:40 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq), @USUN lauds the ability of the new PM to "reign in… https://t.co/KPgr0booDs
1260213044640186400,Tue May 12 14:19:38 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq) SRSG Hennis-Plasschaert cites aspirations by "count… https://t.co/JKSHTYOkCy
1260212552799314000,Tue May 12 14:17:40 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq) SRSG Hennis-Plasschaert stresses the need to ease h… https://t.co/i6ckC6hlft
1260212018432422000,Tue May 12 14:15:33 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq) SRSG Hennis-Plasschaert notes that inflammatory rhe… https://t.co/ZbJctxUqDo
1260211586045808600,Tue May 12 14:13:50 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq) SRSG Hennis-Plasschaert notes the many Iraqis whose… https://t.co/5b2IPWqMm7
1260211265089257500,Tue May 12 14:12:33 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq) SRSG Hennis-Plasschaert cites a lack of economic di… https://t.co/LGKK3SHOqM
1260210930459316200,Tue May 12 14:11:14 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq) SRSG Hennis-Plasschaert reminds that Iraq's challen… https://t.co/CrylJhYN7v
1260210462114943000,Tue May 12 14:09:22 +0000 2020,In UN Security Council (VTC) on the situation in Iraq (@UNIraq) SRSG Jeanine Hennis-Plasschaert extends the call of… https://t.co/vJsYrq3K8y
1260209673032081400,Tue May 12 14:06:14 +0000 2020,At UN role of religious leaders in addressing the multiple challenges of COVID-19, @Morocco_UN notes that the goal… https://t.co/q9RYwBPH8o
1260209004841754600,Tue May 12 14:03:34 +0000 2020,The concept note for this AM's event on the contributions of religious leaders to addressing the COVID-19 pandemic… https://t.co/tfk2rXMVsI
1260202085024280600,Tue May 12 13:36:05 +0000 2020,Soon to begin in UN Security Council (VTC), briefing on the situation in Iraq (@UNIraq) by SRSG Jeanine Hennis-Plas… https://t.co/qO4D6DDSlU
1260199549999685600,Tue May 12 13:26:00 +0000 2020,A wonderful colleague with energy that inspired, informed and encouraged.  One of a kind. https://t.co/PI1UdvgFT5
1260186317599715300,Tue May 12 12:33:25 +0000 2020,RT @ANDPANDP4: today a fire incident start at around 8:50 AM in nearby 3 junction of Kutupalong Camp 1E. Still fire don't extinguish comple…
1260186113605599200,Tue May 12 12:32:37 +0000 2020,RT @ANDPANDP4: ‘I shoot Rohang Rohingyas with a camera, you shoot me with a gun.’ The current situation about freedom of press in Dhaka pol…
1259984587108888600,Mon May 11 23:11:49 +0000 2020,RT @oosbornesilver1: @WaterWineTravel @maggieNYT always seems to leave something pertinent out of the tweet or headline. Thanks for highlig…
1259984141828980700,Mon May 11 23:10:03 +0000 2020,The article Marta references ends with a warning:  And on his key point of the brute necessity of a reborn internat… https://t.co/9bVieKV1kR
1259979183188594700,Mon May 11 22:50:21 +0000 2020,Security-related VTC meetings on Tuesday at the UN: the Security Council will discuss the situation in Iraq @UNIraq… https://t.co/7V1GKqzA3E
1259977316249358300,Mon May 11 22:42:56 +0000 2020,Tuesday at UN, High-level VTC entitled “The Role of Religious Leaders in Addressing the Multiple Challenges of COVI… https://t.co/BTBwN5Y5Cu
1259958153510297600,Mon May 11 21:26:47 +0000 2020,RT @FridaGhitis: "we acted extremely early" Trump says, denying one of the best documented facts of his administration, that he was catastr…
1259955591612706800,Mon May 11 21:16:36 +0000 2020,RT @Adjani_OkpuEgbe: ⁦@JohnLAllenJr⁩ delving into #semantics is DISINGENUOUS. If u can say “the restoration of the statehood of Southern Ca…
1259927996691091500,Mon May 11 19:26:57 +0000 2020,The UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty" has concluded.  Good to see a range of non-nuclear… https://t.co/ZFllOY9SCz
1259927586181955600,Mon May 11 19:25:19 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @MaritzaChanV reminds the treaty is only as strong… https://t.co/885pASjjPr
1259927160590139400,Mon May 11 19:23:38 +0000 2020,I'm confused..... https://t.co/Mob8VutHv1
1259926988590063600,Mon May 11 19:22:57 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @ChathamHouse stresses this "nuclear emergency" tha… https://t.co/5qsDVTDW0B
1259926732167164000,Mon May 11 19:21:55 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @TJAQUEZH reminds that the "well being of persons"… https://t.co/QpsAhAZ2gw
1259926205052194800,Mon May 11 19:19:50 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @KenyaMissionUN makes the case that nuclear technol… https://t.co/AWbzd8iIc4
1259925399645102000,Mon May 11 19:16:38 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @indonesiaunny notes that while the NPT can be post… https://t.co/OXX1Vb2wDY
1259924983091994600,Mon May 11 19:14:58 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @GuatemalaONU reminds member states of their collec… https://t.co/rR3amnz25o
1259924363467534300,Mon May 11 19:12:31 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @INakamitsu urges a more "human-centered" approach… https://t.co/jJa47iRAql
1259924100530819000,Mon May 11 19:11:28 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @INakamitsu warns that a "new normal" is coming tha… https://t.co/4UL3kTnyB6
1259923661722726400,Mon May 11 19:09:43 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty" Elders HE Mary Robinson notes (following @AustriaUN)… https://t.co/WHqQ5yWSfa
1259922858496663600,Mon May 11 19:06:32 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @GZlauvinen notes that the time before January will… https://t.co/TDpqymJnA0
1259922046861090800,Mon May 11 19:03:18 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @LibMissionUN seeks "actionable steps" towards core… https://t.co/haSVLO3ZQr
1259921367111172000,Mon May 11 19:00:36 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @a_pytlak cites today's release of the RCW statemen… https://t.co/XjJB97kQaC
1259920765383819300,Mon May 11 18:58:13 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @AustraliaUN raises the value of civil society voic… https://t.co/YAT0IJWZ8m
1259920413624328200,Mon May 11 18:56:49 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @NLatUN lauds the NPT agenda suggested by Mary Robi… https://t.co/ekU6QS18ws
1259919321427558400,Mon May 11 18:52:29 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @Morocco_UN calls the NPT a pillar of multilaterali… https://t.co/IzCI9ja78i
1259918516154781700,Mon May 11 18:49:17 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @AustriaUN asks if the "unfortunate" postponement o… https://t.co/ET6uCxBHGW
1259918012481704000,Mon May 11 18:47:16 +0000 2020,At UN Side Event @irishmissionun, @CostaRicaONU "NPT at Fifty," @AustriaUN notes the "smaller states" have a key ro… https://t.co/CPMBkYZuf8
1259916587756331000,Mon May 11 18:41:37 +0000 2020,RT @TheUNTimes: Financial situation of the United Nations, in three charts - Full report: https://t.co/HFxJRdhq31 https://t.co/I5WPMAShjg
