id,created_at,text
1259181573892649000,Sat May 09 18:00:56 +0000 2020,@WaltfromABQ Hello, thank you for reaching out to us and we apologize for the delay in response. Could you please p… https://t.co/z1sNYwzyN9
1259181098556407800,Sat May 09 17:59:03 +0000 2020,@GauravV01568323 Hello, thank you for reaching out to us and we apologize for the delay in response. We suggest to… https://t.co/ntxTMTWQOC
1259179526476595200,Sat May 09 17:52:48 +0000 2020,@Kamare_mtalii Hi Kamare, you can find our English thread here: https://t.co/0JpN9MPQKg
1259179292199735300,Sat May 09 17:51:52 +0000 2020,@_NicolasGoffin All you'll need for a great time!❤️
1259176645593895000,Sat May 09 17:41:21 +0000 2020,@Rajwant47459003 Hello, we apologize for the delay in response. We have followed up with your DM request, Regards  /Nick
1259173855228280800,Sat May 09 17:30:16 +0000 2020,The one thing mom always packs:
1259173464600187000,Sat May 09 17:28:42 +0000 2020,Ma mère n’oublie jamais d’apporter :
1259169985655722000,Sat May 09 17:14:53 +0000 2020,My mom gives the best:
1259169677026242600,Sat May 09 17:13:39 +0000 2020,Elle est la meilleure pour donner des:
1259168208793358300,Sat May 09 17:07:49 +0000 2020,@sxc_40000 Hello Sarita Chand, Thank you for reaching out to us. Could you Dm us your booking reference? https://t.co/JiY1ELdkeh /Jul
1259164292303261700,Sat May 09 16:52:16 +0000 2020,@albouchard Hello Anne Louise, that may be an error and we are sorry for the confusion. Can you send us a DM with y… https://t.co/riLOX3MulL
1259164179661033500,Sat May 09 16:51:49 +0000 2020,@gar5061 ❤️
1259163831122768000,Sat May 09 16:50:26 +0000 2020,A bucket list item for us:
1259163591577665500,Sat May 09 16:49:29 +0000 2020,Un rêve à réaliser ensemble :
1259159548457291800,Sat May 09 16:33:25 +0000 2020,@sophiatangerine Hello there, the travel credit we are offering for non refundable tickets is valid for 24 months.… https://t.co/ZUuazlaZeJ
1259157833477763000,Sat May 09 16:26:36 +0000 2020,@Algirl29 ❤️✈️🌎
1259154621001617400,Sat May 09 16:13:50 +0000 2020,Fill in the blank! Something my mom taught me: ____________________
1259154482077859800,Sat May 09 16:13:17 +0000 2020,Complétez la phrase! Une chose que ma mère m’a apprise : ____________________
1259147392735215600,Sat May 09 15:45:06 +0000 2020,Something mom and I do at home together:
1259147077629743000,Sat May 09 15:43:51 +0000 2020,Quand nous sommes ensemble à la maison, ma mère et moi aimons :
1259146893290061800,Sat May 09 15:43:07 +0000 2020,@toddcrunched Hello Todd, we regret to hear your flight has been disrupted. We suggest to reach our colleagues at t… https://t.co/5dl0fddPPz
1259146760611664000,Sat May 09 15:42:36 +0000 2020,@galefor34698451 You can find our English thread here: https://t.co/0JpN9N7s8Q
1259146418587152400,Sat May 09 15:41:14 +0000 2020,@peterjohndevrie Hello Peter, we apologize for the delay in response. We followed up with your DM. Kindly refer to it. Best regards  /Nick
1259145701092659200,Sat May 09 15:38:23 +0000 2020,@chrisannad 🍫🍫🍫
1259140954189152300,Sat May 09 15:19:31 +0000 2020,My favourite travel souvenir from mom:
1259140626454642700,Sat May 09 15:18:13 +0000 2020,Le plus beau souvenir de voyage que j’ai reçu de ma mère :
1259137017750990800,Sat May 09 15:03:53 +0000 2020,Thinking of mom from near or afar, celebrate by sharing a few of your memories and fun facts.  If you and mom could… https://t.co/rKXBHCvcwd
1259136733502943200,Sat May 09 15:02:45 +0000 2020,En pensant à votre mère, qu’elle soit près ou loin, célébrez en partageant quelques souvenirs et faits amusants.  S… https://t.co/VZu4Lh4gp2
1259113294071292000,Sat May 09 13:29:37 +0000 2020,@DravitK Hello Dravit, what was said in our DM was the following for your refund request '' If it is refundable wit… https://t.co/7pczAWJCuV
1259103281936322600,Sat May 09 12:49:50 +0000 2020,@drjwells We invite you to Dm us your booking details! https://t.co/JiY1ELdkeh /Jul
1259102231573512200,Sat May 09 12:45:39 +0000 2020,@drjwells Hello James, thank you for reaching out to us. It would be 24 months from the date the flight was cancell… https://t.co/ak2p83dLIh
1259069897545601000,Sat May 09 10:37:10 +0000 2020,@Katya42306238 Hello Katya, Thank you for reaching out to us. Could you Dm us more details? https://t.co/JiY1ELdkeh /Jul
1258984118290874400,Sat May 09 04:56:19 +0000 2020,@roxannestp It's a pleasure, safe travels. 🌈🍁✈️ /Charlie
1258982216543146000,Sat May 09 04:48:45 +0000 2020,@roxannestp Hello Roxanne, we would first like to offer you our deepest condolences to you and your family. Secondl… https://t.co/zUs0TkthuW
1258974570297667600,Sat May 09 04:18:22 +0000 2020,@BMike222 Hello, we invite you to send us your booking reference or ticket number starting with 014.. in the follow… https://t.co/twbWUiga42
1258956690898260000,Sat May 09 03:07:20 +0000 2020,@384jeff Hello Jeff, we invite you to send us your booking reference or ticket number starting with 014.. in the fo… https://t.co/0iR5iQNu1a
1258956464472932400,Sat May 09 03:06:26 +0000 2020,@nealjennings Hello Neal, we invite you to send us your booking reference in the following link… https://t.co/NPjeJQCPQ8
1258953837290946600,Sat May 09 02:55:59 +0000 2020,@mr_duggan Hello Clay, we invite you to send us the booking reference in the following link https://t.co/Y5350lRvx4… https://t.co/bdRl6jyJP7
1258952580333539300,Sat May 09 02:51:00 +0000 2020,@jetsbeautyy Hello Steph, we invite you to send us the booking reference or ticket number starting with 014.. in th… https://t.co/Ss9pKBElVT
1258948443730587600,Sat May 09 02:34:33 +0000 2020,@siwoderable Bonjour,  Nous vous invitons à nous fournir votre numéro de référence en message privé, afin que nous… https://t.co/IGgu77y8Vh
1258937189620220000,Sat May 09 01:49:50 +0000 2020,@lisads975 Hello Lisa, we invite you to send us your booking reference or ticket number in the following link… https://t.co/E2JvJ4AeWN
1258934962763554800,Sat May 09 01:40:59 +0000 2020,@aswsow Bonjour,  Nous vous invitons à consulter notre page web pour plus de détails: https://t.co/9Zqem7fssH  Cordialement /Martha
1258912461450813400,Sat May 09 00:11:34 +0000 2020,@lotteleonard Hello Charlotte, we invite you to send us your booking reference or ticket number starting with 014..… https://t.co/lNqeoviR5W
1258890345829597200,Fri May 08 22:43:42 +0000 2020,@Originaljess Hello Jessica, we invite you to send us your ticket number starting with 014.. in the following link… https://t.co/XSVg8bYXxK
1258880971824398300,Fri May 08 22:06:27 +0000 2020,@_melarkz Hello Emma, we invite you to send us your booking reference or ticket number starting with 014.. in the f… https://t.co/Nzrzleehq2
1258860947470536700,Fri May 08 20:46:53 +0000 2020,Even if we can’t travel the way we used to, we can still travel virtually, from home. Meet “Somewhere”, using augme… https://t.co/ATBKFf20G0
1258860779081793500,Fri May 08 20:46:12 +0000 2020,Même si on ne peut voyager comme avant, on peut toujours le faire de façon virtuelle, de chez soi. Somewhere se ser… https://t.co/P9iLriox6u
1258859277831278600,Fri May 08 20:40:14 +0000 2020,@jenditchburn Hello Jennifer Ditchburn, Thank you for reaching out to us. Could you Dm us your booking reference so… https://t.co/31NTd5GfYi
1258850901483233300,Fri May 08 20:06:57 +0000 2020,@melissmegaskill Hello melissa, Thank you for reaching out to us. Could you Dm us your booking reference? https://t.co/JiY1ELdkeh /Jul
1258827259814830000,Fri May 08 18:33:01 +0000 2020,@julian_vieitez Hola Julian, puede enviar su numero de reserva en mensaje privado por favor? /Frank
1258824192453152800,Fri May 08 18:20:49 +0000 2020,@cindylouywg Hello Cindy, Thank you for reaching out to us. Could you Dm us his booking reference so we may better… https://t.co/WmKhqqulau
1258811534052130800,Fri May 08 17:30:31 +0000 2020,@BabyfaceLau Hello Lauren Turner, Thank you for reaching out to us. Could you Dm us your booking reference? https://t.co/JiY1ELdkeh /Jul
1258800589431083000,Fri May 08 16:47:02 +0000 2020,@vvdcoco Hello, could you please provide us with your booking reference in DM? We'll take a look into it. https://t.co/Y5350lRvx4 /Lea
1258797632350236700,Fri May 08 16:35:17 +0000 2020,@mcorothers Hello, could you please provide us with your booking reference in DM? We'll take a look into it. https://t.co/Y5350lRvx4 /Lea
1258797474896060400,Fri May 08 16:34:39 +0000 2020,@daxerl Hello Heidi, could you please DM further details? We'll take a look into it. https://t.co/Y5350lRvx4 /Lea
1258790477073186800,Fri May 08 16:06:51 +0000 2020,@andy_utoronto Hello,  Thank you for reaching out to us. Can you please DM us with your booking reference? We will… https://t.co/R1KCwhBsSb
1258788233254768600,Fri May 08 15:57:56 +0000 2020,@simplytinag Hello there, if a passenger is denied boarding, we'll have to look into the type of booking they have… https://t.co/dEdKu0MRKS
1258786512973566000,Fri May 08 15:51:06 +0000 2020,@BinnyTangri Hello Binny, We invite you to delete this post for security reasons as it contains personal informatio… https://t.co/LT23OCnUaW
1258785831185272800,Fri May 08 15:48:23 +0000 2020,@limo29_09 Hello,  Thank you for reaching out to us. Can you please DM us with your booking reference? We will look… https://t.co/X3xfqsXf0O
1258783641427116000,Fri May 08 15:39:41 +0000 2020,@ONTConsmrRights Hello,  Thank you for reaching out to us. Can you please DM us with your booking reference? We wil… https://t.co/U4ASZ0YiAB
1258751302496067600,Fri May 08 13:31:11 +0000 2020,@HarrySh01549532 Hello Harry,  Thank you for reaching out to us. Could you please provide us with further details r… https://t.co/NZCkOGKYxT
1258745289420259300,Fri May 08 13:07:18 +0000 2020,@anandiharman Hello, we suggest deleting this tweet as it contains confidential information. We will reply to your DM. Regards  /Lea
1258700998215897000,Fri May 08 10:11:18 +0000 2020,@AshishJ34667121 Hello, thank you for reaching out to us. We suggest to delete your tweet as it contains your perso… https://t.co/hVdhnYMFSD
1258557678219116500,Fri May 08 00:41:48 +0000 2020,@LisaGuillen Hello Lisa,  Thank you for reaching out to us. Can you please DM us with your booking reference? We wi… https://t.co/72j2nbgovQ
1258538724557635600,Thu May 07 23:26:29 +0000 2020,@Ed_senior Hello Ed, can you please send us a DM with your booking reference? We'll do out best to assist you.  /Frank
1258535350495965200,Thu May 07 23:13:04 +0000 2020,@TheKitchenFink Hello there, can you please send us a DM with your booking reference? We'll look into it and advise further.  /Frank
1258528689496588300,Thu May 07 22:46:36 +0000 2020,@Leonardtravels Hello there, we are not offering full refunds or waiving cancellation fees. Please send us a DM wit… https://t.co/8Qay0NFrq4
1258501010160566300,Thu May 07 20:56:37 +0000 2020,@Melissa55797508 @stjohnsairport Thank you, Melissa!❤️🇨🇦
1258492002175508500,Thu May 07 20:20:49 +0000 2020,@ijg Hello Iain, as a result of the recent coronavirus outbreak, we have implemented the following goodwill policy:… https://t.co/qqQuBpau1t
