id,created_at,text
1258645855080312800,Fri May 08 06:32:11 +0000 2020,@SantoshYammi Hi There, we apologize for the inconvenience caused. Please check your DM and respond so that the team can assist you better.
1258645306809467000,Fri May 08 06:30:00 +0000 2020,Rejection kisi bhi tarah ka ho sakta hai chahe woh kaam mei mila ho, business mei ya pyaar mei mila rejection!… https://t.co/MtkqTMgwHn
1258645105231007700,Fri May 08 06:29:12 +0000 2020,@sarcasm_donor Dear User, Thank you for sharing your valuable feedback. We will certainly share it with the concerned team. Stay tuned!
1258600008024293400,Fri May 08 03:30:00 +0000 2020,The ‘Hero’ whose charm nobody can ‘Escape’ celebrates his special day today! Wishing @enriqueiglesias a very happy… https://t.co/MlfV3RqNW9
1258569809287016400,Fri May 08 01:30:00 +0000 2020,“The sweat, the time, the devotion, it pays off.” Get started with your in-house exercise routine with our ‘Workout… https://t.co/37Jmy01gjX
1258409658680656000,Thu May 07 14:53:37 +0000 2020,Is it #ThalaAjith or Is it, @actorvijay? Why not have both? Let’s bring to you the best of both the worlds with thi… https://t.co/dtp6ZohxGe
1258396184252539000,Thu May 07 14:00:04 +0000 2020,@tcjani Hi There, we apologize for the inconvenience caused. Please check your DM and respond so that the team can assist you better.
1258396006330142700,Thu May 07 13:59:22 +0000 2020,@sunnysep1 Dear User, Thank you for sharing your valuable feedback. We will certainly share it with the concerned team. Stay tuned!
1258393954887676000,Thu May 07 13:51:13 +0000 2020,@djsmanchanda Dear User, Thank you for sharing your valuable feedback. We will certainly share it with the concerned team. Stay tuned!
1258390029786890200,Thu May 07 13:35:37 +0000 2020,@Harmeet36221355 We are glad to confirm that the issue has been resolved. Enjoy Listening Gaana:)
1258320639988883500,Thu May 07 08:59:53 +0000 2020,@HCreativityD Hi There, we apologize for the inconvenience caused. Please DM your gaana registered details (email o… https://t.co/R2LyMnDHGp
1258320564206227500,Thu May 07 08:59:35 +0000 2020,@tcjani Hi There, we apologize for the inconvenience caused. Please connect with us over the HELP section or email… https://t.co/6XuQ3TCDlz
1258298262966026200,Thu May 07 07:30:58 +0000 2020,Uplift your mood with the peppiest tunes of this season only on Gaana Clean and Clear Fresh Beats :… https://t.co/em7oCgQfTB
