id,created_at,text
1259912973985906700,Mon May 11 18:27:15 +0000 2020,Introducing the NEW Extra Bass Wireless Speakers, XB23, XB33, XB43 - Waterproof, Dustproof, Rustproof. 🎶… https://t.co/rUBP3eSY2m
1259520117970546700,Sun May 10 16:26:11 +0000 2020,@qrq1200 We apologize for the inconvenience. Please visit https://t.co/8DBZiEzxIq. Here you can find customer suppo… https://t.co/y8XmLiFMyn
1259519878035320800,Sun May 10 16:25:14 +0000 2020,@qrq1200 We apologize for the inconvenience. Please visit https://t.co/8DBZiEzxIq. Here you can find customer suppo… https://t.co/izw0zy7vnY
1259501526499852300,Sun May 10 15:12:18 +0000 2020,@RemoteplayNinja @RemoteplayNinja, Thanks for your message. Please visit https://t.co/N6Q5CIfW2I. Here you can find… https://t.co/hbKhCeBjCm
1258876843517792300,Fri May 08 21:50:02 +0000 2020,Creativity starts at home. Get inspired here 👉 https://t.co/lmHkUnplfN (#SonyXperia 5) https://t.co/BGCnl4NnyH
1258784773427941400,Fri May 08 15:44:11 +0000 2020,RT @Gizmodo: Sony’s new noise-canceling workout earbuds have the best sound you can buy https://t.co/U7Zzb0JvnL https://t.co/C10SJmyoJt
1258396541066281000,Thu May 07 14:01:29 +0000 2020,Introducing the all NEW WF-SP800N truly wireless noise-canceling sport earbuds with IP55 sweat resistance, long bat… https://t.co/hlyemcEGT3
1258093427851513900,Wed May 06 17:57:02 +0000 2020,Crafted for music lovers. 🎶  (TA-A1ES High-Resolution Audio Stereo Amplifier and SA-AR1 Stereo Floorstanding Speake… https://t.co/GDEV8SwPED
1258054513744908300,Wed May 06 15:22:24 +0000 2020,@DCBoyce @DCBoyce, We apologize for the inconvenience. Please visit https://t.co/N6Q5CIfW2I. Here you can find cust… https://t.co/8UHs3RiKjC
1257709083559448600,Tue May 05 16:29:47 +0000 2020,Stay connected this #MothersDay (The #SonyAudio XB22 speaker and #SonyXperia) https://t.co/gYVQn6hxRD https://t.co/LUQ1EKNfrW
1257419765615820800,Mon May 04 21:20:08 +0000 2020,@SU412286FIXmyPS Pls reach out to @AskPlayStation. They are best equipped to respond to your request. Thanks! Jay
1257419268645322800,Mon May 04 21:18:10 +0000 2020,@alexieP Pls reach out to @AskPlayStation. They are best equipped to respond to your request. Thanks! Jay
1257367908260470800,Mon May 04 17:54:04 +0000 2020,It’s all been leading to this. Watch #StarWars: The Clone Wars’ final season unfold with more color and contrast.… https://t.co/OwCqJELK4z
1257068287839666200,Sun May 03 22:03:29 +0000 2020,@rudisaurio_1011 Due to staff availability, customers may experience delays or disruptions in their ability to cont… https://t.co/lZk4l3KE9J
1257068102241706000,Sun May 03 22:02:45 +0000 2020,@Joene90 Due to staff availability, customers may experience delays or disruptions in their ability to contact our… https://t.co/cqG9du9Xe7
1257067863355076600,Sun May 03 22:01:48 +0000 2020,@amansahu865 Due to staff availability, customers may experience delays or disruptions in their ability to contact… https://t.co/VSQwhJe7gn
1257067568994680800,Sun May 03 22:00:38 +0000 2020,@amansahu865 we're sorry for the inconvenience and late reply. For help with this, please reach out to @sony_india.… https://t.co/w8z5mSdUjG
1257067222670901200,Sun May 03 21:59:15 +0000 2020,@Sir3O3 We apologize for the inconvenience and late reply. Please visit https://t.co/8DBZiEzxIq. Here you can find… https://t.co/Rhv77aZewt
1257066942013362200,Sun May 03 21:58:08 +0000 2020,@HappyGa43047523 We apologize for the inconvenience and late reply. Please visit https://t.co/8DBZiEzxIq. Here you… https://t.co/pZUHWMjsel
1257066513430990800,Sun May 03 21:56:26 +0000 2020,@fmwawech We apologize for the inconvenience and late reply. Please visit https://t.co/8DBZiEzxIq. Here you can fin… https://t.co/Rfbcq13URY
1257066241736544300,Sun May 03 21:55:21 +0000 2020,@iyervidy we're sorry for the inconvenience and late reply. For help with this, please reach out to @sony_india. Th… https://t.co/s2E8s8CUyF
1257065982469775400,Sun May 03 21:54:20 +0000 2020,@AlanVale1 Due to staff availability, customers may experience delays or disruptions in their ability to contact Pl… https://t.co/ZUCnvZBOVB
1257065687715123200,Sun May 03 21:53:09 +0000 2020,@Jayanadhi1812 we're sorry for the inconvenience and late reply. For help with this, please reach out to… https://t.co/zd0rYAwmlo
1257065452901146600,Sun May 03 21:52:13 +0000 2020,@wisnubangun13 We're sorry for the inconvenience. For help with this, please reach out to @sony_india. They will be… https://t.co/sYlQkW4Pr4
1257065145794207700,Sun May 03 21:51:00 +0000 2020,@HPMartinez7 Hi, H P Martinez, We apologize for the inconvenience and late reply. Please visit… https://t.co/HnPT6X6avr
1257060129863864300,Sun May 03 21:31:04 +0000 2020,@Strainy_ Due to staff availability, customers may experience delays or disruptions in their ability to contact our… https://t.co/1YuAF7EBFN
1257059883045748700,Sun May 03 21:30:05 +0000 2020,@balk_baxter Due to staff availability, customers may experience delays or disruptions in their ability to contact… https://t.co/sDB0mLmwxo
1257059572453343200,Sun May 03 21:28:51 +0000 2020,@networkguy64512 Due to staff availability, customers may experience delays or disruptions in their ability to cont… https://t.co/nurQmfDXRn
1257059205120495600,Sun May 03 21:27:24 +0000 2020,@NileshS91436088 Hi,Nilesh, Due to staff availability, customers may experience delays or disruptions in their abil… https://t.co/lyue4bnOmC
1256421407413743600,Sat May 02 03:13:01 +0000 2020,Work from home confidently. (WH-1000XM3 noise-canceling wireless headphones with multiple mics for hands-free calls… https://t.co/aQir5rlFUt
1255912033914159000,Thu Apr 30 17:28:57 +0000 2020,RT @SonyCine: 📣 ANNOUNCEMENT: "Sony Expands Filmmaking Versatility and Creative Freedom with #SonyVENICE and #SonyFX9 Full-frame Cameras Up…
1255897134437740500,Thu Apr 30 16:29:44 +0000 2020,RT @gearpatrol: At only $130, the Sony WF-XB700s are worth your consideration. https://t.co/LTho6HcZYR
1255632208796229600,Wed Apr 29 22:57:01 +0000 2020,Wireless, washable, and waterproof. 🎶  (XB22 extra bass, portable speaker.)  #SonyAudio https://t.co/gYVQn6hxRD https://t.co/hWGkNrGArk
1255568812797235200,Wed Apr 29 18:45:06 +0000 2020,RT @iPhonedo: I collaborated with @Sony and prepared a little vlog from the eyes of Mango.  @SonyElectronics #SonyAibo  https://t.co/sV6rGU…
1255512543893827600,Wed Apr 29 15:01:31 +0000 2020,@thebalajiram @thebalajiram, We're sorry for the inconvenience and late reply. For help with this, please reach out… https://t.co/ISGe8FInof
1255509858490646500,Wed Apr 29 14:50:51 +0000 2020,@fhrttncn26 @fhrttncn26, We apologize for the inconvenience and late reply. Please visit https://t.co/N6Q5CIfW2I. H… https://t.co/FPDuUYkMvG
1255170168604557300,Tue Apr 28 16:21:02 +0000 2020,All the content you love, exactly how you want it. (#Sony4K A8H OLED smart Android TV with #GoogleAssistant.)… https://t.co/OVJRPGodYq
1255147088670650400,Tue Apr 28 14:49:20 +0000 2020,@Decision2Love @Decision2Love, we're sorry for the inconvenience and late reply. This is part of normal operation.… https://t.co/ccAodpdBFo
1254967830296002600,Tue Apr 28 02:57:01 +0000 2020,Work, learn, create, and enjoy. Check out our favorite Sony essentials 👉https://t.co/kXmkDxcfBB https://t.co/yCyL3nBkM0
1254891949896675300,Mon Apr 27 21:55:30 +0000 2020,@callmethatisraj Hi! For help with this, please reach out to @sony_india. They will be glad to assist you! Thanks. Jay
1254881012892524500,Mon Apr 27 21:12:02 +0000 2020,🙌 Thanks @wirecutter. Learn more about the Sony Stereo Receiver 👉 https://t.co/un7SVCsBNH https://t.co/6TRHfmhOUR
1254788599377092600,Mon Apr 27 15:04:49 +0000 2020,@kenettii Hi Ken, we're sorry for the inconvenience and late reply. Have you tried rebooting or resetting your phon… https://t.co/nL5R9hHspO
1254785765176864800,Mon Apr 27 14:53:33 +0000 2020,A new way to hear your favorite content. (Immersive Wearable Speaker with sound intensity you can feel, while still… https://t.co/gKfZqlXdRX
1254785105345704000,Mon Apr 27 14:50:56 +0000 2020,@GermanQ92198297 @GermanQ92198297, We apologize for the inconvenience and late reply. Please visit… https://t.co/SmzlwO2uJq
1254784643296923600,Mon Apr 27 14:49:06 +0000 2020,@kanaihya007 @kanaihya007, we're sorry for the inconvenience and late reply. For help with this, please reach out t… https://t.co/UzHkztHyyH
1253744038810923000,Fri Apr 24 17:54:06 +0000 2020,🏡 🎧  (WH-1000XM3 Noise Canceling wireless headphones with mic.) #SonyHeadphones https://t.co/ALbwzHunx9
1253349182724857900,Thu Apr 23 15:45:05 +0000 2020,Don't miss out on the action. #BadBoysForLife (#Sony4K X950H HDR Full Array LED Smart Android TV with X-Motion Clar… https://t.co/6KOYqf14HE
1253075363703505000,Wed Apr 22 21:37:02 +0000 2020,Capturing the beauty of our planet with #SonyXperia 🌍 🌎 🌏 #EarthDay  (https://t.co/GnLnvxVNAJ) https://t.co/7H9fltI3yl
1253034305816649700,Wed Apr 22 18:53:53 +0000 2020,RT @SonyAlpha: Photography has the power to impact the home we share — the Earth. Our #AlphaFamily celebrates the beauty of our planet, &amp; r…
1252976965285445600,Wed Apr 22 15:06:02 +0000 2020,@sanjivdutta1 @sanjivdutta1, We're sorry for the inconvenience. For help with this, please reach out to @sony_india… https://t.co/NqllTmYLyH
1252780919791988700,Wed Apr 22 02:07:01 +0000 2020,Home theater ready. (HT-ST5000 7.1.2ch Dolby Atmos Soundbar with three-dimensional surround sound.) #SonyAudio… https://t.co/NFPMImiTJo
1252628951312318500,Tue Apr 21 16:03:09 +0000 2020,@Gruppo63 Hello @Gruppo63, We apologize for the inconvenience. Please visit https://t.co/N6Q5CIfW2I. Here you can f… https://t.co/yhtIzmKUKP
1252628469411983400,Tue Apr 21 16:01:14 +0000 2020,@hallnbox Hello @hallnbox, for help with this, please reach out to @SonyUK. They will be glad to further assist you! Thanks! - Romeo
1251575035657150500,Sat Apr 18 18:15:16 +0000 2020,Netflix Calibrated Mode: Content you want, just as the creator intended. What’s on your watch list? (#Sony4K X950H… https://t.co/WSeqtYyZyo
1251267198783553500,Fri Apr 17 21:52:02 +0000 2020,Our favorite speaker for listening to your favorite DJ. (XB32 extra bass wireless speaker with multi-colored flashi… https://t.co/bHmdh4O6Z1
1251266560389505000,Fri Apr 17 21:49:30 +0000 2020,@Flashh313 Due to staff availability, customers may experience delays or disruptions in their ability to contact Pl… https://t.co/OIHyJGrtYX
1250864797152874500,Thu Apr 16 19:13:02 +0000 2020,Watch @DUALIPA's latest music video in Sony’s immersive 360 Reality Audio #360RA  https://t.co/bunLMHJGnO https://t.co/yhQWVgl5O2
1250488067691077600,Wed Apr 15 18:16:02 +0000 2020,#PlayAtHome just like the real MLB players. (#Sony4K HDR X800H HDR LED Smart Android TV.) https://t.co/eZnzExc6rf https://t.co/Fp8K1lGr47
1250102530325000200,Tue Apr 14 16:44:03 +0000 2020,A robotic puppy companion – powered by AI. #Sonyaibo  https://t.co/E040JDZP9L https://t.co/62xJYuRgq0
1250089511259975700,Tue Apr 14 15:52:19 +0000 2020,@Mercurial_Matty @Mercurial_Matty, thanks for your inquiry. Please visit https://t.co/N6Q5CIfW2I. Here you can find… https://t.co/MeFY2Hlfcu
1250087147937443800,Tue Apr 14 15:42:56 +0000 2020,@Chokie_Parulian @Chokie_Parulian, We apologize for the inconvenience. Please visit https://t.co/N6Q5CIfW2I. Here y… https://t.co/Y5LG8cogRD
1249774898429546500,Mon Apr 13 19:02:10 +0000 2020,This week we are hosting a virtual STEAM Week for students in grades 3-8.  Learn more on the speakers and activitie… https://t.co/kaW9Bdwwro
1249725874204815400,Mon Apr 13 15:47:21 +0000 2020,@ozkesali @ozkesali, We apologize for the inconvenience. Please visit https://t.co/N6Q5CIfW2I. Here you can find cu… https://t.co/2hGjedTMXZ
1249453497080307700,Sun Apr 12 21:45:02 +0000 2020,@THMFjosh Hi, Josh Crawford, Due to staff availability, customers may experience delays or disruptions in their abi… https://t.co/2oHdwwcmuR
1249452710698590200,Sun Apr 12 21:41:54 +0000 2020,@alexieP Due to staff availability, customers may experience delays or disruptions in their ability to contact Play… https://t.co/dqjN3EMO6Z
1248692489344692200,Fri Apr 10 19:21:03 +0000 2020,🏆 ”Sony's WH-1000XM3 headphones proved to be the best over-ear headphones overall” - @CNNUnderscored. https://t.co/8pg56oAr9k
1248674869845340200,Fri Apr 10 18:11:02 +0000 2020,Paperwork all in one place for anywhere, anytime. (Sony Digital Paper Series that can easily transfer documents to… https://t.co/z1YS4p077h
1248400564808867800,Fri Apr 10 00:01:03 +0000 2020,Small but powerful. (S350 2.1ch soundbar with deeper, richer bass and cinematic virtual surround sound.) #SonyAudio… https://t.co/ICFVTS5f4d
1248280766234136600,Thu Apr 09 16:05:01 +0000 2020,@HanSolo51242156 @HanSolo51242156, thanks for your interest. Unfortunately, no. You might want to consider checking… https://t.co/afi7e3cCnK
1247980291865612300,Wed Apr 08 20:11:02 +0000 2020,Stay home. Stay creative. (Learn more about the #SonyAlpha a7 III 👉 https://t.co/xiGub76Uvy) #BeAlpha https://t.co/g2iN89zWzf
1247557036075860000,Tue Apr 07 16:09:10 +0000 2020,@9to5A @9to5A, We apologize for the inconvenience. Please visit https://t.co/N6Q5CIfW2I. Here you can find customer… https://t.co/5WhYdqdNit
1247549411254775800,Tue Apr 07 15:38:52 +0000 2020,@giovalo616 @giovalo616, We apologize for the inconvenience. Please visit https://t.co/N6Q5CIfW2I. Here you can fin… https://t.co/fbDPPmSvY4
1247549194187018200,Tue Apr 07 15:38:00 +0000 2020,@kyke181 @kyke181, We apologize for the inconvenience. Please visit https://t.co/N6Q5CIfW2I. Here you can find cust… https://t.co/aKq45hOPcg
1247221043758063600,Mon Apr 06 17:54:03 +0000 2020,Audio without interruption. (The new WH- CH710 wireless noise-canceling headphones with Smartphone compatibility fo… https://t.co/A6JFiOvNDn
1246136905516888000,Fri Apr 03 18:06:05 +0000 2020,Onward on @DisneyPlus is on our watch list this weekend. What’s on yours? #PixarOnward (#Sony4K X800H HDR LED Smart… https://t.co/dLd4BKta6R
1246098798331428900,Fri Apr 03 15:34:39 +0000 2020,@sV43424247 @sV43424247, We're sorry for the inconvenience. Please reach out to @AskPlayStation. They are best equi… https://t.co/PxoFkllbFt
1246098398811435000,Fri Apr 03 15:33:04 +0000 2020,@AmerDessouki @AmerDessouki, we're sorry for the inconvenience and late reply. For help with this, please reach out… https://t.co/bVs8f4fWuI
1246097667807043600,Fri Apr 03 15:30:10 +0000 2020,@SonyAlpha #AlphaFamily ❤️
1246097573519097900,Fri Apr 03 15:29:47 +0000 2020,RT @SonyAlpha: As adversity continues to impact creators around the world, remember that you are not alone and you are part of the #AlphaFa…
1245746069193068500,Thu Apr 02 16:13:02 +0000 2020,RT @Sony: Today, we're proud to announce the Sony Global Relief Fund for COVID-19, a $100 million fund to support those around the world af…
1245731414395543600,Thu Apr 02 15:14:48 +0000 2020,@Jchevalkar @Jchevalkar, we're sorry for the inconvenience and late reply. For help with this, please reach out to… https://t.co/2nGueNowmR
1245517591625576400,Thu Apr 02 01:05:09 +0000 2020,All-day sound. No wires. Introducing the all-new WF-XB700 Truly Wireless Headphones with extra bass.… https://t.co/9H5E778mWh
1245468888919351300,Wed Apr 01 21:51:37 +0000 2020,@JSUNVOORHEEZ Hi, JSUN, For help with this, please reach out to @AskPlayStation. They will be glad to further assist you! Thanks. Jay
1245468516519743500,Wed Apr 01 21:50:08 +0000 2020,@MrMarkSegal Hi, Mark Segal, the BDP-S185 does not support HEVC. Jay
1245170776631902200,Wed Apr 01 02:07:01 +0000 2020,Distraction-free calls regardless of where your office is. (WH-1000XM3 Industry Leading Noise Canceling headphones.… https://t.co/c9uNcRNMas
1244675526272442400,Mon Mar 30 17:19:05 +0000 2020,Bring the sounds of the theater to you.  (CS3 Floor-Standing Speakers, CS9 Subwoofer, 7.2ch DN1080 Receiver with Do… https://t.co/bXnQGTlCue
1243629881084297200,Fri Mar 27 20:04:03 +0000 2020,Be compact. Be versatile. (Image courtesy of Oveck Reyes) Learn more about the new 20mm F1.8 G lens 👉… https://t.co/loiXKLpFG6
1242950336169390000,Wed Mar 25 23:03:47 +0000 2020,RT @SonyAlpha: 📅 Mark your calendars for tomorrow's #CreatorConversations live chat starting at noon pacific! Submit questions below for ou…
1242524436533665800,Tue Mar 24 18:51:25 +0000 2020,RT @SonyAlpha: A step-by-step guide to using your #SonyAlpha camera or RX compact camera for high-quality livestreaming ⚡ https://t.co/DLr0…
1242487365567950800,Tue Mar 24 16:24:06 +0000 2020,Introduce kids to robotics and coding with Sony KOOV. Find out more about KOOV Kits 👉 https://t.co/XAaRzMszkr https://t.co/VqwyLgrDqn
1242197959028215800,Mon Mar 23 21:14:07 +0000 2020,Wireless freedom meets great sound. (WH-1000XM3 Industry Leading Noise Cancelation headphones.) #SonyAudio via… https://t.co/7CVeHtNVe0
1241122446088036400,Fri Mar 20 22:00:24 +0000 2020,Fine detail and vivid color. (The Sony A9G MASTER Series BRAVIA OLED 4K HDR TV with Pixel Contrast Booster.)… https://t.co/vVX2UOwaQJ
1239936538340974600,Tue Mar 17 15:28:02 +0000 2020,What's your something green today? ☘️ (XB950N1 Extra Bass Wireless Noise-Canceling Headphones) #SonyAudio… https://t.co/0KjnGxLCt8
1239596826329825300,Mon Mar 16 16:58:08 +0000 2020,A pup to make you smile. #Sonyaibo https://t.co/hK8ePXXJPM https://t.co/EbrqMrYgRZ
1238561602473013200,Fri Mar 13 20:24:32 +0000 2020,@manoj_kumar2016 Hi MANOJKUMAR,  For help with this, pls reach out 2 @sony_india. They will be glad 2 further assist you! Thx.   Erin
1238552675547074600,Fri Mar 13 19:49:03 +0000 2020,Easy access, easy living. (#Sony4K X800H HDR LED Smart Android TV with #GoogleAssistant for a faster way to the ent… https://t.co/7xG41DKdeu
1238188024892194800,Thu Mar 12 19:40:04 +0000 2020,Made for any moment. (Learn more about the #SonyAlpha a6100 👉 https://t.co/fXlQ1kSVws) #BeAlpha https://t.co/9aDTEpdo2s
1238121961957531600,Thu Mar 12 15:17:33 +0000 2020,@pieeniu Hi, pieeniu! Yes, The XPERIA 1 Supports T-Mobile. Jay
1237871447428587500,Wed Mar 11 22:42:06 +0000 2020,No distractions. Just creativity. (WH-1000XM3 Industry Leading Noise Cancelation.) #SonyAudio via @ArtOfVisuals… https://t.co/rhIkpfJLzH
1237816609932263400,Wed Mar 11 19:04:11 +0000 2020,@deny_03 Hi, Den, May we know the exact model number of your Bravia TV? Brand new TVs come with a 1-year limited ma… https://t.co/4Oj1CWbrZV
1237559874403233800,Wed Mar 11 02:04:01 +0000 2020,Big sound, wide reach. (XB402G EXTRA BASS Google Built-in Bluetooth Speaker) #SonyAudio https://t.co/DzD1DJQVeX https://t.co/iya3uGOkZw
1237435936260137000,Tue Mar 10 17:51:32 +0000 2020,@marcusramsey Hi, Marcus, We recommend contacting Sony Parts for further assistance: https://t.co/astjNUrQ6C. -Vincent
1237021638367023000,Mon Mar 09 14:25:15 +0000 2020,@devidicus Hi, Devidicus! For further assistance, please send us DM with your location. Thanks. Jay
1236696206073647000,Sun Mar 08 16:52:06 +0000 2020,Rise and shine ☀️ (#SonyAudio WH-1000XM3 Noise Canceling Headphones and #SonyXperia 5. Learn more about the Xperia… https://t.co/A28ujnyCgn
1236019739778052000,Fri Mar 06 20:04:04 +0000 2020,24/7 - Listen all day. (WF-1000XM3 truly wireless noise-canceling earbuds with up to 24 hours of battery life with… https://t.co/Tskj49HccW
1235581183343366100,Thu Mar 05 15:01:24 +0000 2020,@RobMac98665365 Hi, RobMac! We're sorry to hear that this unit failed to meet your expectations. Please send us DM… https://t.co/ij0nxh9Q3S
1235580183224225800,Thu Mar 05 14:57:26 +0000 2020,@delaserna47 Hi, Fth CYLN! Please visit https://t.co/N6Q5CIfW2I. Here you can find customer support for your region. Thanks! Jay
1235111491835052000,Wed Mar 04 07:55:01 +0000 2020,Deep bass and blues. (XB650BT EXTRA BASS Wireless Headphones.) #SonyAudio https://t.co/fIVMPHI70I https://t.co/dA4hOMNSf6
1235013927374934000,Wed Mar 04 01:27:20 +0000 2020,@araoye_gbadebo @araoye_gbadebo, we regret to hear about what happened. May we know your current location? ~Ralph
1234925844138610700,Tue Mar 03 19:37:19 +0000 2020,RT @NewsBySony_USA: #TeamSony is kicking off #WomenHistoryMonth2020 representing all shades of purple. Follow us all month long to see how…
1234876138708709400,Tue Mar 03 16:19:49 +0000 2020,@imanovianas @imanovianas, Thanks for your interest. Please visit https://t.co/N6Q5CIfW2I. Here you can find custom… https://t.co/RTT4e0CEU0
1234828291523121200,Tue Mar 03 13:09:41 +0000 2020,@RobMac98665365 @RobMac, We're sorry to hear about this. Please send us a DM of your Case ID or phone number so we… https://t.co/YHoWsOd5tX
1234588323550814200,Mon Mar 02 21:16:08 +0000 2020,Smarter than you think. (#Sony4K X900F HDR LED Android TV) #GoogleAssistant https://t.co/K2Qt61Dh3n https://t.co/qRVgDMORNB
1234533248891605000,Mon Mar 02 17:37:17 +0000 2020,@PeterParker_101 @PeterParker_101, We're sorry for the inconvenience. Please reach out to @AskPlayStation. They are… https://t.co/JiWIBl5jC9
1233165312247287800,Thu Feb 27 23:01:36 +0000 2020,Let the creativity flow. (No distractions with the WH-1000XM3 noise-canceling headphones.) 🎨 #SonyAudio via… https://t.co/SsIDM7xdoE
1233067623035916300,Thu Feb 27 16:33:25 +0000 2020,@pieeniu @pieeniu, We apologize for the inconvenience. Please visit https://t.co/N6Q5CIfW2I. Here you can find cust… https://t.co/qxhzf9uNTS
1233036531188846600,Thu Feb 27 14:29:52 +0000 2020,@GoThIcFrEaKz Hi, Veshad! This sounds like something our Xperia Support Forum team can help you with. You can reach… https://t.co/BbLOSdZF1u
1233023039354392600,Thu Feb 27 13:36:15 +0000 2020,@deny_03 @Den, We regret to hear about this. Please send us a DM of your Case ID so we can better assist you. Thanks! -Sam
1232824840840573000,Thu Feb 27 00:28:41 +0000 2020,"It is going to definitely change the way we consume music and the way that we hear it."- Producer @DAEONE on 360RA… https://t.co/SMGoAWR5t1
1232702901740540000,Wed Feb 26 16:24:08 +0000 2020,@Aliceresponde @Aliceresponde, We apologize for the inconvenience. Please visit https://t.co/N6Q5CIfW2I. Here you c… https://t.co/aX4QFEGYDv
1232482549689024500,Wed Feb 26 01:48:32 +0000 2020,RT @SonyAlpha: "Sony Expands Full-Frame Lens Line-up with Introduction of New Large-Aperture Ultra-Wide Angle Prime Lens" 👀 #BeAlpha Learn…
1232381963220197400,Tue Feb 25 19:08:51 +0000 2020,@ms87ms87ms Hi, Eu ...........! Please visit https://t.co/N6Q5CIfW2I. Here you can find customer support for your r… https://t.co/oMnOFx386d
1232330340661747700,Tue Feb 25 15:43:43 +0000 2020,Ultra-wide, fast and sharp. Learn more about the all-new FE 20mm F1.8 G lens 👇 (Image courtesy of Quay Hu) #BeAlpha
1231976117189382100,Mon Feb 24 16:16:10 +0000 2020,Create and enjoy content effortlessly (introducing the all-new Xperia 1 II) #SonyXperia Learn more 👉… https://t.co/SpNgzzZUZ5
1231665657013387300,Sun Feb 23 19:42:30 +0000 2020,RT @SonyXperiaUS: Don't forget to tune in! We will be going live on our YouTube channel at 2:30 am EST on 2/24 to share some exciting news…
1231322963238117400,Sat Feb 22 21:00:45 +0000 2020,@mitchellsx Hi, Simon! Thank you for the inquiry. Please check the link below for more details about the list of TV… https://t.co/0JqnktTgLU
1230978452892729300,Fri Feb 21 22:11:48 +0000 2020,RT @SonyAlpha: We've collected a series of images that highlight the sky, all taken by YOU, our community 🌤️🌤️ See which ones we've highlig…
1230978418453336000,Fri Feb 21 22:11:40 +0000 2020,RT @SonyXperiaUS: SAVE THE DATE: We will be going live on our YouTube channel at 2:30am EST on 2/24 to share some exciting news! https://t.…
1230954122255442000,Fri Feb 21 20:35:07 +0000 2020,@ms87ms87ms Hi ms87ms87ms,  Pls visit https://t.co/N6Q5CIfW2I. Here you can find customer support for your region.… https://t.co/qXpAeJLJL4
1230942785454379000,Fri Feb 21 19:50:04 +0000 2020,Dynamic ‘Green’ Duo. (Go paperless with Digital Paper Series + #Xperia) https://t.co/NIKOO7qWyc https://t.co/fvOZOcotCI
1230673246405656600,Fri Feb 21 01:59:01 +0000 2020,Music anywhere, anytime. 🎵(XB22 waterproof, dustproof and shockproof wireless speaker.)  #SonyAudio… https://t.co/glQJlNtwKi
1230638383342317600,Thu Feb 20 23:40:29 +0000 2020,RT @MikeFasulo: Calling all Innovators of tomorrow - don't miss this: @SonyElectronics to host First Annual KOOV Challenge for U.S. Student…
1230295582159384600,Thu Feb 20 00:58:19 +0000 2020,@JBags1230 Hello, Boston!  The soundbar doesn't work directly with Google assistant, but you can pair a Google devi… https://t.co/JgyyndjIcL
1230288213421576200,Thu Feb 20 00:29:02 +0000 2020,Feel the energy of the music. (SS-CS3 Floor-Standing speaker system). #SonyAudio https://t.co/frymzCmsmd https://t.co/gQLYop2QFN
1229955767983362000,Wed Feb 19 02:28:01 +0000 2020,The true sound of vinyl. 🎶  (The LX310BT Turntable with Bluetooth connectivity). #SonyAudio https://t.co/d43Ub2HiZZ https://t.co/0Ku2NKpzok
1229566605480398800,Tue Feb 18 00:41:37 +0000 2020,@9802010469 Hi, Taner! Please visit https://t.co/N6Q5CIfW2I. Here you can find customer support for your region. Th… https://t.co/29Rl65M14U
