id,created_at,text
803188889196384300,Mon Nov 28 10:48:48 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/s8r1UoIk7i
802831750669836300,Sun Nov 27 11:09:39 +0000 2016,Thanks for the recent follow @CPTax4NorthEas1 @NuTechEngineer1 Happy to connect :) have a great Sunday. &gt;&gt; https://t.co/40rD5CKtTi
802101742515134500,Fri Nov 25 10:48:52 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) (Want this 🆓? &gt;&gt; https://t.co/k12V7pYImL)
801768956579213300,Thu Nov 24 12:46:30 +0000 2016,Thanks for the recent follow @SzpakMariusz @GrantACollier Happy to connect :) have a great Thursday. &gt;&gt; Get FREE? https://t.co/z3KHO8TBLD
801376940598980600,Wed Nov 23 10:48:46 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) (Want this? It's FREE! https://t.co/lI5rTeSOCt)
800652181187661800,Mon Nov 21 10:48:50 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) (Get your Tweet Insight by 🆓 https://t.co/El7sIGbTMf)
799565001682014200,Fri Nov 18 10:48:46 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/FGIBwMJBOY
798840227838033900,Wed Nov 16 10:48:46 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) (Get your Tweet Insight by 🆓 https://t.co/El7sIGbTMf)
797782715890335700,Sun Nov 13 12:46:36 +0000 2016,Thanks for the recent follow @The_CIE @BFCProjectMgt Happy to connect :) have a great Sunday. &gt;&gt; Want this 🆓? https://t.co/FGIBwMJBOY
797758313995898900,Sun Nov 13 11:09:38 +0000 2016,Thanks for the recent follow @jfglover76 @ManufacturingUK Happy to connect :) have a great Sunday. &gt;&gt; Want this 🆓? https://t.co/s8r1UoIk7i
797028286886973400,Fri Nov 11 10:48:46 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) (Get your Tweet Insight by 🆓 https://t.co/El7sIGtvaP)
796303508463030300,Wed Nov 09 10:48:45 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/FGIBwMJBOY
795578741716123600,Mon Nov 07 10:48:47 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) (Want this? It's FREE! https://t.co/lI5rTeSOCt)
794681979753103400,Fri Nov 04 23:25:23 +0000 2016,Thanks for the recent follow @bren761 @upo4431 Happy to connect :) have a great Friday. 🔹🆓Grow followers ➪ https://t.co/oIE6AHdQhZ 🆓🔹
794681979488833500,Fri Nov 04 23:25:23 +0000 2016,Thanks for the recent follow @bren761 @upo4431 Happy to connect :) have a great Friday. &gt;&gt; Want this 🆓? https://t.co/FGIBwMJBOY
794681979073609700,Fri Nov 04 23:25:22 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) 🔹🆓Grow followers ➪ https://t.co/oIE6AHdQhZ 🆓🔹
793766813658075100,Wed Nov 02 10:48:50 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/s8r1UoqIII
793057083960594400,Mon Oct 31 11:48:37 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) 🔹🆓Grow followers ➪ https://t.co/oIE6AHvr9x 🆓🔹
792082067836186600,Fri Oct 28 19:14:15 +0000 2016,Thanks for the recent follow @BTBExhausts @NewencoLtd Happy to connect :) have a great Friday. &gt;&gt; Get FREE? https://t.co/moWgK5eiPq
792082067215364100,Fri Oct 28 19:14:15 +0000 2016,Thanks for the recent follow @BTBExhausts @NewencoLtd Happy to connect :) have a great Friday. &gt;&gt; Want this 🆓? https://t.co/FGIBwMs0qo
792082065508278300,Fri Oct 28 19:14:15 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) &gt;&gt; Want this? It's FREE! https://t.co/fcnQWxZZXM
791598498143539200,Thu Oct 27 11:12:43 +0000 2016,Thanks for the recent follow @PagePeyro @Lean_Air Happy to connect :) have a great Thursday. &gt;&gt; Get FREE? https://t.co/z3KHO8C0n3
791230079191818200,Wed Oct 26 10:48:45 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) (Want this? It's FREE! https://t.co/lI5rTfapu1)
790872981287206900,Tue Oct 25 11:09:47 +0000 2016,Thanks for the recent follow @RakeshR16329643 @ABoisboisse Happy to connect :) have a great Tuesday. &gt;&gt; Get FREE? https://t.co/moWgK5eiPq
790505296443510800,Mon Oct 24 10:48:44 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) (Want this? It's FREE! https://t.co/1y3DKKGkdD)
789423435910832100,Fri Oct 21 11:09:48 +0000 2016,Thanks for the recent follow @danstephensonuk @HeyTaxiInt Happy to connect :) have a great Friday. &gt;&gt; Get FREE? https://t.co/moWgK5eiPq
789418175326584800,Fri Oct 21 10:48:54 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) (Want this? It's FREE! https://t.co/lI5rTfapu1)
788693343580545000,Wed Oct 19 10:48:40 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/FGIBwMs0qo
787968597985419300,Mon Oct 17 10:48:48 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) (Want this 🆓? &gt;&gt; https://t.co/k12V7qgjej)
786881477459882000,Fri Oct 14 10:48:58 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) (Want this 🆓? &gt;&gt; https://t.co/k12V7qgjej)
786524293458821100,Thu Oct 13 11:09:39 +0000 2016,Thanks for the recent follow @EaglePlastics @MongeJocelyne Happy to connect :) have a great Thursday. &gt;&gt; Get FREE? https://t.co/z3KHO8C0n3
786156663044616200,Wed Oct 12 10:48:49 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) &gt;&gt; Want this? It's FREE! https://t.co/fcnQWxZZXM
785431874151653400,Mon Oct 10 10:48:46 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) (Get your Tweet Insight by 🆓 https://t.co/El7sIGbTMf)
784712362313982000,Sat Oct 08 11:09:41 +0000 2016,Thanks for the recent follow @FittersMates @glbcy2010 Happy to connect :) have a great Saturday. &gt;&gt; Want this 🆓? https://t.co/s8r1UoqIII
784344754666418200,Fri Oct 07 10:48:56 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/FGIBwMs0qo
783625244661559300,Wed Oct 05 11:09:52 +0000 2016,Thanks for the recent follow @eqrelmotor @OCSInfotechOman Happy to connect :) have a great Wednesday. (via https://t.co/pXQalSfAig)
783619944525078500,Wed Oct 05 10:48:48 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/FGIBwMs0qo
782895156370387000,Mon Oct 03 10:48:45 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) (Want this 🆓? &gt;&gt; https://t.co/k12V7qgjej)
781813323599798300,Fri Sep 30 11:09:56 +0000 2016,Thanks for the recent follow @B2LTax4CBI @AutoEnMachinery Happy to connect :) have a great Friday. &gt;&gt; Want this 🆓? https://t.co/7sKM61yto3
781808044430680000,Fri Sep 30 10:48:57 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/s8r1UoqIII
781450864875581400,Thu Sep 29 11:09:39 +0000 2016,Thanks for the recent follow @AddtimeUK @cognidoxBizDev Happy to connect :) have a great Thursday. &gt;&gt; Get 🆓? https://t.co/7uuoQaz5tS
781088556341039100,Wed Sep 28 11:09:58 +0000 2016,Thanks for the recent follow @Grow4CBI1 @blackcurveHQ Happy to connect :) have a great Wednesday. &gt;&gt; Want this 🆓? https://t.co/FGIBwMs0qo
781083227800776700,Wed Sep 28 10:48:47 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) &gt;&gt; Want this? It's FREE! https://t.co/fcnQWxZZXM
780358461422915600,Mon Sep 26 10:48:50 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/FGIBwMs0qo
779300929052946400,Fri Sep 23 12:46:34 +0000 2016,Thanks for the recent follow @komidihoragequ @adeelbangash110 Happy to connect :) have a great Friday. &gt;&gt; Get FREE? https://t.co/z3KHO8C0n3
779271314544533500,Fri Sep 23 10:48:54 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) (Want this? It's FREE! https://t.co/1y3DKKGkdD)
778914184150999000,Thu Sep 22 11:09:47 +0000 2016,Thanks for the recent follow @AgTechSV @MarkGradwell Happy to connect :) have a great Thursday. (Want this 🆓? &gt;&gt; https://t.co/b9b6EISoTC)
778551802883027000,Wed Sep 21 11:09:49 +0000 2016,Thanks for the recent follow @redlinegroupuk @Barna6yF1etcher Happy to connect :) have a great Wednesday. &gt;&gt; Get 🆓? https://t.co/7uuoQaz5tS
778546523097276400,Wed Sep 21 10:48:50 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) (Want this 🆓? &gt;&gt; https://t.co/b9b6EISoTC)
777821751677886500,Mon Sep 19 10:48:51 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/7sKM61yto3
776734619211182100,Fri Sep 16 10:48:58 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/FGIBwMs0qo
776377463634927600,Thu Sep 15 11:09:46 +0000 2016,Thanks for the recent follow @RecruitPrec @Grant4CBI1 Happy to connect :) have a great Thursday. &gt;&gt; Want this 🆓? https://t.co/FGIBwMs0qo
776015082891337700,Wed Sep 14 11:09:48 +0000 2016,Thanks for the recent follow @BusRatesMotor @PregBld4Motor Happy to connect :) have a great Wednesday. (via https://t.co/pXQalSfAig)
776009802979782700,Wed Sep 14 10:48:49 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/s8r1UoqIII
775290339665981400,Mon Sep 12 11:09:55 +0000 2016,Thanks for the recent follow @tampapidivision @14DayManu Happy to connect :) have a great Monday. (Want this 🆓? &gt;&gt; https://t.co/k12V7qgjej)
775285014044880900,Mon Sep 12 10:48:46 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) 🔹🆓Grow followers ➪ https://t.co/oIE6AHvr9x 🆓🔹
774197891690750000,Fri Sep 09 10:48:55 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) 🔹🆓Grow followers ➪ https://t.co/oIE6AHvr9x 🆓🔹
773865113442889700,Thu Sep 08 12:46:35 +0000 2016,Thanks for the recent follow @MrEdgarLindo @HONEST_GOODS Happy to connect :) have a great Thursday. &gt;&gt; Want this 🆓? https://t.co/s8r1UoqIII
773473084024041500,Wed Sep 07 10:48:48 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) (Free Insight by https://t.co/VhzGMZWCiO)
772748310054445000,Mon Sep 05 10:48:48 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/s8r1UoqIII
771666507084341200,Fri Sep 02 11:10:06 +0000 2016,Thanks for the recent follow @SpiersSafety @rosezixezaw Happy to connect :) have a great Friday. (Free Insight by https://t.co/VhzGMZWCiO)
771661211817476100,Fri Sep 02 10:49:04 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/7sKM61yto3
770941617347842000,Wed Aug 31 11:09:39 +0000 2016,Thanks for the recent follow @theSpacenation @14DayNE @FOXTalentUK Happy to connect :) have a great Wednesday. &gt;&gt; https://t.co/40rD5CKtTi
770936345598369800,Wed Aug 31 10:48:42 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/FGIBwMs0qo
770211573277134800,Mon Aug 29 10:48:43 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) 🔹🆓Grow followers ➪ https://t.co/oIE6AHvr9x 🆓🔹
769856779844882400,Sun Aug 28 11:18:54 +0000 2016,Thanks for the recent follow @B2LTax4Agents @StartingPPCMot3 Happy to connect :) have a great Sunday. &gt;&gt; Get 🆓? https://t.co/7uuoQaz5tS
769129704708149200,Fri Aug 26 11:09:45 +0000 2016,Thanks for the recent follow @StartupInMotion @GuntherKo Happy to connect :) have a great Friday. (Want this 🆓? &gt;&gt; https://t.co/k26SNopzxU)
769124421508341800,Fri Aug 26 10:48:46 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) 🔹🆓Grow followers ➪ https://t.co/oIE6AHvr9x 🆓🔹
768791653721047000,Thu Aug 25 12:46:28 +0000 2016,Thanks for the recent follow @Detail2Digital @majed_supply Happy to connect :) have a great Thursday. &gt;&gt; Get 🆓? https://t.co/7uuoQaz5tS
768767302858711000,Thu Aug 25 11:09:42 +0000 2016,Thanks for the recent follow @onlymarketing @conistonhotel Happy to connect :) have a great Thursday. (Insight by https://t.co/ErOi3NDAIS)
768429273619193900,Wed Aug 24 12:46:30 +0000 2016,Thanks for the recent follow @aura_cumbria @jasonTSGrale @up_seat Happy to connect :) have a great Wednesday. (via https://t.co/pXQalSfAig)
768404905585365000,Wed Aug 24 11:09:40 +0000 2016,Thanks for the recent follow @Master_Plastics @JosephBalliroJr Happy to connect :) have a great Wednesday. &gt;&gt; https://t.co/40rD5CKtTi
