id,created_at,text
661586820292022300,Tue Nov 03 16:52:44 +0000 2015,RT @madeinthemids: Just over a week till our upcoming expo #MIMEvents #UKmfg  Book your tickets here- https://t.co/4zN4NwAMab
661586820279480300,Tue Nov 03 16:52:44 +0000 2015,RT @PeopleSenseErp: Are you overpaying sales tax because you're missing sales tax holidays? Use #Made2Manage #ERP? @aptean @avalara https:/…
661561534489997300,Tue Nov 03 15:12:15 +0000 2015,RT @DaveDeMichele: #SaaS / #PaaS Daily is out! https://t.co/OOhpRpdUQx Stories via @NouraPanaritis @TheNutellaMan
661514758915555300,Tue Nov 03 12:06:23 +0000 2015,RT @SaaSMgr: Want to learn more about saasifying applications with SaaSMgr? Check out our video! https://t.co/2r3DWI9AMf #saas #startup
661508981526036500,Tue Nov 03 11:43:26 +0000 2015,RT @WM_Mag: Manufacturers braced for IoT, but progress varies https://t.co/KbAT3IqrLT @Infor #IoT #InternetOfThings #ukmfg #Manufacturing
661508957081608200,Tue Nov 03 11:43:20 +0000 2015,RT @TweetERP: Education ERP market growing at a CAGR of 17.3% to 2020 - WhaTech https://t.co/VFBorPVLZ1 #erp
661467889829068800,Tue Nov 03 09:00:09 +0000 2015,RT @TheNutellaMan: #bigdata #SaaS Top Mistakes Developers Make When Using Python for Big Data Analytics https://t.co/y3vQItpdwH https://t.c…
661457887823315000,Tue Nov 03 08:20:24 +0000 2015,RT @Designhilldh: As a #entrepreneur, What is your work schedule? #startups #smallbiz #Founder #cofounder #BusinessIntelligence
661430560615723000,Tue Nov 03 06:31:49 +0000 2015,RT @WhichERP: IAM as a Service (IAMaaS) is a reality today. Find out if itâs right for your organization. https://t.co/5djVRRr7EG #erp
661430559932067800,Tue Nov 03 06:31:48 +0000 2015,RT @UKmfg: RT @EmaxSystemsLtd: Helping #darlobizhour engineers - with #ukmfg SOS https://t.co/VbPE8BfnZv
661360218341826600,Tue Nov 03 01:52:18 +0000 2015,RT @iCharts: You need a 360 deg view of your customers #businessintelligence https://t.co/Qi5wYgroOa
661312128016621600,Mon Nov 02 22:41:12 +0000 2015,RT @MissAbbyHolt: RT ConstantCrawler Business Intelligence Sales Representative IV, Madrid: https://t.co/ecbNVaLRaE #bi #businessintelligen…
661307835612053500,Mon Nov 02 22:24:09 +0000 2015,Hello everyone, have a great Monday! Looking forward to reading your tweets :) (insight by https://t.co/pHPvzSCHmU)
661293735251169300,Mon Nov 02 21:28:07 +0000 2015,Thanks for the recent follow @WilliamNietoo @HireTeamMate Happy to connect :) have a great Monday. (insight by https://t.co/pHPvzSCHmU)
661292349151121400,Mon Nov 02 21:22:36 +0000 2015,RT @Jim_Roddy: All-Inclusive “Tigerpaw One” Offered Via #SaaS Model https://t.co/DI5h84KYc4 via @BSMinfo @bernadeditor @TigerpawCo @James_F…
661291557677572100,Mon Nov 02 21:19:28 +0000 2015,@croftersorganic thanks for sharing Crofter's Organic, have a great Monday :) (insight by https://t.co/pHPvzSCHmU)
661269054037073900,Mon Nov 02 19:50:02 +0000 2015,Thanks for the recent follow @j_bunny934 @wltsurveyors @lstarusta Happy to connect :) have a great Monday. (via https://t.co/pHPvzSCHmU)
661263460102197200,Mon Nov 02 19:27:49 +0000 2015,RT @sales_i: 5 really simple ways to understand #BusinessIntelligence https://t.co/EC1A00MI9I https://t.co/YYXymQmGUq
661245744775635000,Mon Nov 02 18:17:25 +0000 2015,RT @scalus: https://t.co/3WeU4347Ve Scalus: Business Tech That Millennials Actually Like  #Saas #Collaboration
661224235113840600,Mon Nov 02 16:51:57 +0000 2015,RT @ERPeople: "5 #ERP Articles I Learned from this Month" by @ERPeople on @LinkedIn https://t.co/cpFxV8Y2PF
661224200426901500,Mon Nov 02 16:51:48 +0000 2015,RT @iain_gray: Boost to UK #automotive industry as research at @UniofBath propelled to 'spoke status' https://t.co/0rF0dIIR7J‘spoke-status’…
661214291803177000,Mon Nov 02 16:12:26 +0000 2015,RT @GrwthUnion: Free alternative to @Domotalk: https://t.co/bTcvDcbgPO #data #bi #businessintelligence #analytics #datascience
661208852252241900,Mon Nov 02 15:50:49 +0000 2015,RT @TheManufacturer: .@TheManufacturer Top 100 2015 launch event will be at Birmingham Museum and Art Gallery. Coming? #TMTop100 https://t.…
661198889308016600,Mon Nov 02 15:11:14 +0000 2015,RT @ChartMogul: Treat your #SaaS business to the metrics it deserves. Try @ChartMogul's analytics for free! https://t.co/utKGXYmAfV https:/…
661165216902856700,Mon Nov 02 12:57:26 +0000 2015,RT @DI_tweet: Kick off your #businessintelligence implementation in style. Download our new eBook with 60+ pages of tips &amp; tricks: https://…
661152146373648400,Mon Nov 02 12:05:29 +0000 2015,RT @JBoruvka: Reverse migration on the rise: Channel partners see customers uncloud https://t.co/4dqEW9DMdU via @searchcloudprov #cloud #sa…
661146225438232600,Mon Nov 02 11:41:58 +0000 2015,RT @TweetERP: Panorama issue the latest version of the Clash of the Titans ERP... - https://t.co/NrjfMlmMy9 (blog) https://t.co/C7zxNsqklJ …
661146224427429900,Mon Nov 02 11:41:58 +0000 2015,RT @AmtekPlastics: UK manufacturing sector gains momentum in October https://t.co/9kG1CQrSwa #ukmfg #growth https://t.co/QXD9DRjPGx
661116215000219600,Mon Nov 02 09:42:43 +0000 2015,RT @PharosInsBroker: We have been arranging insurance for over 50 years. Our team would love to help you and answer any queries. https://t.…
661105896416804900,Mon Nov 02 09:01:43 +0000 2015,RT @TMTop100: Join us for the drinks reception launch of #TMTop100 2015  UK sparkling wine tasting, canapés &amp; celebrations! #ukmfg https://…
661105499941773300,Mon Nov 02 09:00:08 +0000 2015,RT @saasinvaders: New week - New deal! 😎  50% OFF on @nereo_fr: The leave management, make it easy  https://t.co/inTsYyaSj0 #saas #hr https…
661068169256284200,Mon Nov 02 06:31:48 +0000 2015,RT @erpsoftwareblog: RT @TensoftInc: Have questions regarding ERP selection and implementation? Read this blog for answers. #ERP https://t.…
661066410869788700,Mon Nov 02 06:24:49 +0000 2015,RT @kesbutters: Big Data And Business Intelligence: https://t.co/BVrhzie2uM  #BigData #BusinessIntelligence https://t.co/AGnKxDJohQ
660970184841261000,Mon Nov 02 00:02:26 +0000 2015,RT @EventLion: Big Data And Business Intelligence: https://t.co/UEmgX4zjnx  #BigData #BusinessIntelligence
660956409585082400,Sun Nov 01 23:07:42 +0000 2015,Thanks for the recent follow @millenniumcargo @WheatleyPlastic Happy to connect :) have a great Sunday. (insight by https://t.co/pHPvzSCHmU)
660951979003420700,Sun Nov 01 22:50:06 +0000 2015,Thanks for the recent follow @UniquaBrand @NellieParkss Happy to connect :) have a great Sunday. (insight by https://t.co/pHPvzSCHmU)
660939361207386100,Sun Nov 01 21:59:58 +0000 2015,RT @redlocal: https://t.co/A3p7FzQPpT - Top chosen Articles for #Odoo #OpenERP #Opensource  #ERP #Magento #eCommerce #SEO  is o… https://t.…
660921754362257400,Sun Nov 01 20:50:00 +0000 2015,RT @Ronald_vanLoon: The Dangers of Dark Data and How to Minimize Your Exposure | #BigData #BusinessIntelligence… https://t.co/gQLiAz5RSC ht…
660883124486844400,Sun Nov 01 18:16:30 +0000 2015,RT @BoweryCapital: LOTS of info here: 300+ #SaaS companies share insights into growth rates &amp; go-to-market trends - https://t.co/I0x7Iyl3r2…
660872919346749400,Sun Nov 01 17:35:57 +0000 2015,RT @METAMORF_US: #Analyticship:#BusinessIntelligence,#Analytics,#BigData:Not for the faint hearted:Interview ? for big data engineers https…
660861714859212800,Sun Nov 01 16:51:25 +0000 2015,RT @Capgemini: You know the benefits of cloud #ERP, but do you know how to achieve them? Insights from @reddymi: https://t.co/osZwL4afsr #O…
660836509919133700,Sun Nov 01 15:11:16 +0000 2015,RT @GetTheCraft: Growth Hacking Process Infographic: https://t.co/gQfPsCUJ80 by @PierreLechelle #SaaS #Startups
660823954039377900,Sun Nov 01 14:21:22 +0000 2015,RT @designieure: #Amazon launches #QuickSight, a #cloud-based #businessintelligence tool - https://t.co/QoX5Ey8YOi
660789850770153500,Sun Nov 01 12:05:51 +0000 2015,RT @sunstonecomms: Find the best pricing model for your #saas https://t.co/xupzj9dFs1
660784082251567100,Sun Nov 01 11:42:56 +0000 2015,RT @UKmfg: RT @Rodmatic_Ltd: Advanced Engineering UK gathers pace: https://t.co/H1oq1gjtxI #UKmfg #engineering https://t.co/0IYOSw1bEZ
660784058650255400,Sun Nov 01 11:42:51 +0000 2015,RT @CuriousRubik: #Cloud #ERP Provides Key Functionality for Fast-Growing Software Company https://t.co/I5BZ0OmZNj by @CuriousRubik
660774957899731000,Sun Nov 01 11:06:41 +0000 2015,RT @iTheSeo: The Role of #Curation in #B2B #ContentMarketing https://t.co/e73218evDQ   #Infographic #contentcuration #businessintelligence
660725919213047800,Sun Nov 01 07:51:49 +0000 2015,RT @jlmico: Wake up &amp; visualise the #BusinessIntelligence #coffee: https://t.co/VY1r3xAhSZ #BigData #DataScience #Analytics https://t.co/dg…
660705616458072000,Sun Nov 01 06:31:08 +0000 2015,RT @TheManufacturer: Virgin reveals £8.7bn digital opportunity for manufacturers https://t.co/j1TXNPqQR4 via .@sharethis #ukmfg #digital
660705491455254500,Sun Nov 01 06:30:39 +0000 2015,RT @cothromsystems: Eleven tips for deploying ERP applications https://t.co/7idcFEUbev via @CIOonline #ERP https://t.co/M0w2Aa37IA
660676548073246700,Sun Nov 01 04:35:38 +0000 2015,RT @BISoftwareIns: Big Data in 2016: 3 Predictions from Industry Insiders https://t.co/srtVkTfgmc #BigData #BI #BusinessIntelligence https:…
660628443726536700,Sun Nov 01 01:24:29 +0000 2015,RT @icrunchdata: Capturing #BusinessIntelligence in Real-Time Takes Data Artistry &amp; Serious #BigData Chops https://t.co/vyRbPliUg0 https://…
660603393275244500,Sat Oct 31 23:44:57 +0000 2015,Thanks for the retweets this week @Rodmatic_Ltd @TheNorthernPath @HaydenARichards much appreciated! (insight by https://t.co/pHPvzSCHmU)
660590650409263100,Sat Oct 31 22:54:18 +0000 2015,Thanks for the recent follow @ppinault @AlanCharlesMann Happy to connect :) have a great Saturday. (insight by https://t.co/pHPvzSCHmU)
660584994260320300,Sat Oct 31 22:31:50 +0000 2015,Thanks for the recent follow @ThreeVentures @angulo_lia @GiraManon Happy to connect :) have a great Saturday. (via https://t.co/pHPvzSCHmU)
660580340055019500,Sat Oct 31 22:13:20 +0000 2015,RT @icrunchdata: Capturing #BusinessIntelligence in Real-Time Takes Data Artistry &amp; Serious #BigData Chops https://t.co/RSUMGsbk6H
660577240003043300,Sat Oct 31 22:01:01 +0000 2015,@EltonMayfield thanks for sharing Elton Mayfield, have a great Saturday :) (insight by https://t.co/pHPvzSCHmU)
660576885135581200,Sat Oct 31 21:59:36 +0000 2015,RT @UKmfg: RT @JoShaer: [INFOGRAPHIC] Boost sales, boost conversion rate - optimisation is the answer! #ukmfg https://t.co/GWOBoF5zjz
660576881964658700,Sat Oct 31 21:59:36 +0000 2015,RT @AmalioFD: The Top 5 Reasons Why Consulting Firms Are Moving to #Cloud #ERP https://t.co/KigcdXPy7X
660567163288297500,Sat Oct 31 21:20:59 +0000 2015,RT @PatriceTruong: MT @Sam___Hurley 87 Must-Try #SaaS #GrowthHacking Strategies https://t.co/ycgq4lgLYs @iconsive https://t.co/srCIPUTfUy
660531530989744100,Sat Oct 31 18:59:23 +0000 2015,RT @alokdalvi: How Contextual Awareness Is Redefining #BusinessIntelligence https://t.co/5g0HXy3BeA
660520623194685400,Sat Oct 31 18:16:03 +0000 2015,RT @shaiberger: How Much Should You Pay Your SaaS Startup's Sales People? https://t.co/gf1DPaJ2G6 by @ttonguz #saas https://t.co/AKjn3IZGBu
660499178649440300,Sat Oct 31 16:50:50 +0000 2015,RT @UKmfg: RT @Corrotherm: Female #engineers: The women solving real-world problems: https://t.co/8OuipnE2U5 #ukmfg
660482459247734800,Sat Oct 31 15:44:24 +0000 2015,RT @IvervandeZand: Higher Education Poised To Enter World Of #Analytics #businessintelligence https://t.co/JBsgBTsPP0 https://t.co/NspFZQHo…
660473997495283700,Sat Oct 31 15:10:46 +0000 2015,RT @sgraymackenzie: Technical debt in one image. Good for a #SaaS chuckle. https://t.co/hii4ss8eQU
660421649397846000,Sat Oct 31 11:42:45 +0000 2015,RT @TheManufacturer: Industry 4.0: transforming manufacturing, embracing digital https://t.co/sWPrYOMGsg via .@sharethis #ukmfg
660421620473925600,Sat Oct 31 11:42:39 +0000 2015,RT @SapphireSystems: Hi https://t.co/R59XHJqyl5 - SaaS - thanks for following us! Find out more about us https://t.co/Vx1e04rVPD #ERP #fina…
660380728597864400,Sat Oct 31 09:00:09 +0000 2015,RT @StartupSteph: “K-Factor: What is your #SaaS #Startup's Viral Coefficient?” https://t.co/AHMkWRvefq &lt;&lt;What does this mean &amp; why is it so…
660343686153289700,Sat Oct 31 06:32:58 +0000 2015,RT @Jonny_Will_28: Chemicals firm, @AiredaleC gains int'l #sustainability recognition w/ @TheGreenOrg award @TheManufacturer - https://t.co…
660343369420415000,Sat Oct 31 06:31:42 +0000 2015,RT @365TalentPortal: #Msdynamics permanent &amp; contract jobs and, for independent consultants, free access to PartnerSource, DLP and LCS. htt…
660334840915587100,Sat Oct 31 05:57:49 +0000 2015,RT @JackWelchMBA: Earn your ACBSP-accredited MBA from Jack Welch, 100% online. https://t.co/IfGexGaWpi
660286746832302100,Sat Oct 31 02:46:42 +0000 2015,RT @thaliaseyecandy: Always have your business cards handy because you never know who you might meet. #BusinessIntelligence #makeupartist
660272210234490900,Sat Oct 31 01:48:56 +0000 2015,@ABasketballPage thanks for sharing Basketball Facts, have a great Saturday :) (insight by https://t.co/pHPvzSCHmU)
660238644461117400,Fri Oct 30 23:35:34 +0000 2015,RT @6Degrees_Social: Social Media is part of your #BusinessIntelligence &amp; #marketing strategy.  6Degrees Can Help
660214162270912500,Fri Oct 30 21:58:17 +0000 2015,RT @ERPeople: How to keep your software migration from turning into a #CabinInTheWoods https://t.co/MSTw5506Zo #ERP #Software https://t.co/…
660214158223401000,Fri Oct 30 21:58:16 +0000 2015,RT @SoundLeisure: Glad the latest @classicjukebox arrived @CrosleyRadio #NASCAR  @Geoffbodine #ukmfg looking good Bo! https://t.co/YrmUlFF1…
660204733383237600,Fri Oct 30 21:20:49 +0000 2015,RT @ERPeople: 5 Reactions to Organiza...BBBBRRRRAAAAIIIINNNNNSSS https://t.co/ZmoRsQeeNb #change #management #halloween #saas #twd
660190011824975900,Fri Oct 30 20:22:19 +0000 2015,RT @SymantecUK: Missed our #Business #Webinar on preparing for an attack? Watch it here! #TheRulesWillChange https://t.co/1niCqmzLVv
660158153301053400,Fri Oct 30 18:15:43 +0000 2015,RT @kentikinc: Haunted by old NetFlow analysis?  Put it in the grave where it belongs &amp; go #BigData #SaaS  https://t.co/tHxXnWFPY3 https://…
660154691846840300,Fri Oct 30 18:01:58 +0000 2015,Thanks for the recent follow @eMergeTalk @Rodmatic_Ltd @K3Syspro Happy to connect :) have a great Friday. (via https://t.co/pHPvzSCHmU)
660147538708848600,Fri Oct 30 17:33:32 +0000 2015,Hello everyone, have a great Friday! Looking forward to reading your tweets :) (insight by https://t.co/pHPvzSCHmU)
660139023298613200,Fri Oct 30 16:59:42 +0000 2015,Thanks for the recent follow @ThreeVentures @CMCOLive @millenniumcargo Happy to connect :) have a great Friday. (by https://t.co/pHPvzSCHmU)
660136420602978300,Fri Oct 30 16:49:22 +0000 2015,RT @365TalentPortal: Independent #msdynamics consultants, get free access to PartnerSource!  https://t.co/hylXSorUFb
660136399979610100,Fri Oct 30 16:49:17 +0000 2015,RT @Rodmatic_Ltd: We're specialists in manufacturing volume turned parts and small batch quantities: https://t.co/SEoYckyzdj  #UKmfg https:…
660111508735721500,Fri Oct 30 15:10:22 +0000 2015,RT @yaguejuan: 5 key learnings from analyzing top #B2B #SaaS pricing pages  by @Mr_Ed @chartmogul https://t.co/76EQwubgiv
660095243975462900,Fri Oct 30 14:05:44 +0000 2015,RT @YourTMEvents: Here are some of our upcoming #TMALC Speakers. View the agenda here:https://t.co/KxNgZ8IDoE #ukmfg https://t.co/TBQnBa8amo
660064922890580000,Fri Oct 30 12:05:15 +0000 2015,RT @TheNutellaMan: #bigdata #SaaS 180 leading data science, big data and analytics bloggers https://t.co/rZsT21O5YC
660058897600917500,Fri Oct 30 11:41:19 +0000 2015,RT @UKmfg: RT @TheManufacturer: Industry 4.0: transforming manufacturing, embracing digital https://t.co/aX1iwHMWor via .@sharethis #ukmfg
660058892643213300,Fri Oct 30 11:41:17 +0000 2015,RT @SandersonIT: A food-specialist #ERP system will help to eliminate the unseen variables which can cause inaccuracies #UKMFG https://t.co…
660043246341595100,Fri Oct 30 10:39:07 +0000 2015,RT @Jonny_Will_28: Wake up &amp; visualise the #BusinessIntelligence coffee @TheManufacturer - https://t.co/u71f6F1gb3 #data #analytics https:/…
660018337502634000,Fri Oct 30 09:00:08 +0000 2015,RT @alfrekjv: Developing the right pricing model is crucial for the success of your #SaaS #startup - here's a great guide for you. https://…
659994381060087800,Fri Oct 30 07:24:57 +0000 2015,RT @vetaglobal: 6 ways to Out Do your Business Meeting.  #veta #BusinessIntelligence https://t.co/ttt2ZtAQvb
659980863732584400,Fri Oct 30 06:31:14 +0000 2015,RT @MfgEngNews: Video: Shop Management System Designed For Small To Medium Sized Manufacturing and Job Shops #ERP #Mfg - https://t.co/ObQKQ…
659945338397196300,Fri Oct 30 04:10:04 +0000 2015,RT @ashleyswain: Can Your Data Be Trusted? A great primer on #DataGovernance...no mention of #BusinessIntelligence... @hbr @tableau  https:…
659917813151305700,Fri Oct 30 02:20:41 +0000 2015,Thanks for the recent follow @intsystemdesign @AlanCharlesMann Happy to connect :) have a great Friday. (insight by https://t.co/pHPvzSCHmU)
659897227729596400,Fri Oct 30 00:58:54 +0000 2015,RT @icrunchdata: Capturing #BusinessIntelligence in Real-Time Takes Data Artistry &amp; Serious #BigData Chops https://t.co/eCRr1WIrtL https://…
659851826989301800,Thu Oct 29 21:58:29 +0000 2015,RT @365TalentPortal: The year ahead for #msdynAX - AX 7 functionalities, roadmap &amp; readiness tips for consultants.https://t.co/qY4cN3SVy1
659851826011971600,Thu Oct 29 21:58:29 +0000 2015,RT @nickhusseymfg: Inspirational day at #arkwrightawards proud to be supporting young people that will be the future of UK engineering @ark…
659848958064357400,Thu Oct 29 21:47:05 +0000 2015,RT @CocaColaCo: Coca-Cola aluminum bottles are available in 45 countries (and growing!) https://t.co/oGuVMl2rSF #CokeBottle100 https://t.co…
659842216777654300,Thu Oct 29 21:20:18 +0000 2015,RT @sosmade: UK Social Intelligence Company Brandwatch Raises $33 million Series C For US Expansion https://t.co/XpeH9XXbr8 #Sosmade
659800191973900300,Thu Oct 29 18:33:18 +0000 2015,RT @kesbutters: Big Data And Business Intelligence: https://t.co/M0MiLPhYGW  #BigData #BusinessIntelligence https://t.co/Tjrql6YyZX
659798810684690400,Thu Oct 29 18:27:49 +0000 2015,@MTecRec thanks for sharing M-Tec Engineering, have a great Thursday :) (insight by https://t.co/pHPvzSCHmU)
659795757063667700,Thu Oct 29 18:15:41 +0000 2015,RT @Akamai: Share your favorite quotes, takeaways, and highlights from the #AkamaiEdge 2015 conference in Miami. We'd love to hear your fee…
659784309558157300,Thu Oct 29 17:30:12 +0000 2015,Hello everyone, have a great Thursday! Looking forward to reading your tweets :) (insight by https://t.co/pHPvzSCHmU)
659782117430313000,Thu Oct 29 17:21:29 +0000 2015,Thanks for the recent follow @hydraproducts @chrispalmer90 Happy to connect :) have a great Thursday. (insight by https://t.co/pHPvzSCHmU)
659774113087639600,Thu Oct 29 16:49:41 +0000 2015,RT @Vicfitz: Bubbly #ukmfg celebration shenanigans! https://t.co/YbvBJHgsVa
659774095064735700,Thu Oct 29 16:49:36 +0000 2015,RT @365TalentPortal: Free Microsoft training and exam preparation for independent #msdynamics consultants - get access to the DLP. https://…
659751075298320400,Thu Oct 29 15:18:08 +0000 2015,RT @ICAEW_BAS: 6 Steps for formulating your #business #strategy - http://t.co/b39lOSv4By @BMInterimMgt
659748945720164400,Thu Oct 29 15:09:40 +0000 2015,RT @muhobs: It blows my mind how much some #SaaS support teams are taken for granted. Support is literally the backbone of your company.
659702465617612800,Thu Oct 29 12:04:59 +0000 2015,RT @kairoer: This is not what I wanted, nor expected, to see in a #SaaS in 2015! #fail #infosec #devops https://t.co/ELjsgacfVe
659702233513242600,Thu Oct 29 12:04:03 +0000 2015,RT @radinclusion: Learn how to communicate in multi-national teams in our webinars! https://t.co/uOVoL7Qdor
659696552575938600,Thu Oct 29 11:41:29 +0000 2015,RT @BMIResearch: BMI’s Ed Coughlan has an Iran blog post on @FitchRatings’ #TheWhyForum http://t.co/CDA0dTbn3v http://t.co/NT27mpy7uE
659695953771757600,Thu Oct 29 11:39:06 +0000 2015,Read this article to see the link between analytics and tackling crime.https://t.co/Gao5Y9qMsq  #ConnectBI
659677812287107100,Thu Oct 29 10:27:01 +0000 2015,Got a live ERP project and need advice? Joins us @ConnectERP 4 Nov https://t.co/fXvWsYcdxh
659655952417824800,Thu Oct 29 09:00:09 +0000 2015,RT @vectornetworks: Your #Microsoft #SCCM infrastructure can do more than you think - and it's only a click away. https://t.co/BztMTlNffM
659653415182712800,Thu Oct 29 08:50:04 +0000 2015,RT @invuECM: Invu Capture offers intelligent accurate data extraction from a full range of documents. https://t.co/p6BrBbJGMq
659618361790345200,Thu Oct 29 06:30:47 +0000 2015,RT @electrolube: Launching #NEW Conformal Coatings for the #electronics #industry with #unique properties! - visit us at #prod15  https://t…
659555781159870500,Thu Oct 29 02:22:06 +0000 2015,RT @matillion: 3 signs you need Cloud reporting software https://t.co/eedtl3NOwc #CloudBI #BusinessIntelligence https://t.co/USXnsB37tR
659517187443572700,Wed Oct 28 23:48:45 +0000 2015,Thanks for the recent follow @TheNorthernPath @Federico_tm Happy to connect :) have a great Wednesday. (insight by https://t.co/pHPvzSCHmU)
659507708069093400,Wed Oct 28 23:11:05 +0000 2015,RT @MAPICWorld: Berangere BRAGARD, CEO @CostaCoffee to speak about #travel #retail at #MAPIC. Learn more: https://t.co/6N1UEEGn5K https://t…
659496119236345900,Wed Oct 28 22:25:02 +0000 2015,ERP vendors, leading experts and latest updates @ConnectERP 4 November. Hurry few places left! https://t.co/fXvWsYcdxh
659494115353219100,Wed Oct 28 22:17:04 +0000 2015,Thanks for the recent follow @WheatleyPlastic @wltsurveyors Happy to connect :) have a great Wednesday. (insight by https://t.co/pHPvzSCHmU)
659493408407425000,Wed Oct 28 22:14:16 +0000 2015,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) (insight by https://t.co/pHPvzSCHmU)
659489042778734600,Wed Oct 28 21:56:55 +0000 2015,RT @uktechnews: [Cloud Pro] Content management should be viewed through same lens as CRM, ERP et al https://t.co/jYSHc2MJjv
659489022620909600,Wed Oct 28 21:56:50 +0000 2015,RT @UKmfg: RT @Corrotherm: Female #engineers: The women solving real-world problems: https://t.co/xNcLWyyq72 #ukmfg https://t.co/s5suN9xFsZ
659485571392344000,Wed Oct 28 21:43:07 +0000 2015,@FixMeStick thanks for sharing FixMeStick, have a great Wednesday :) (insight by https://t.co/pHPvzSCHmU)
659479587601150000,Wed Oct 28 21:19:20 +0000 2015,RT @lstarusta: Not tracking User Churn is like trying to eat a bowl of cheerios with a pitchfork! @priceintel https://t.co/ZspsCvweCG #saas…
659474738172055600,Wed Oct 28 21:00:04 +0000 2015,Thanks for the retweets this week @TheManufacturer @Nicholas_TM @Dhapinder_TM much appreciated! (insight by https://t.co/pHPvzSCHmU)
659459066247430100,Wed Oct 28 19:57:48 +0000 2015,RT @duaahj: "In business intelligence, the best practice shall become the default practice"  #BusinessIntelligence #LessonForTheDay
659433159755485200,Wed Oct 28 18:14:51 +0000 2015,RT @center_cloud: https://t.co/zCNxGQFfiP Launches Cloud Server in Indonesia - https://t.co/cEVFA626cw #SaaS #cloud_network
659411559974879200,Wed Oct 28 16:49:01 +0000 2015,RT @EAL_Awards: Did you know our #engineering &amp; #Ukmfg quals can improve efficiency, achieve cost savings &amp; boost staff retention? https://…
659411535278841900,Wed Oct 28 16:48:55 +0000 2015,RT @BDOSolutions: Have you heard? It's time to get reacquainted with #ProntoXi #ERP Software. https://t.co/HWgxQQdz5B @ProntoSoftware https…
659410121630613500,Wed Oct 28 16:43:18 +0000 2015,RT @matillion: Three Reasons why Cloud BI is Nothing to Fear https://t.co/o782vAJhLV #BusinessIntelligence https://t.co/aAL5gpMgjN
659386612778975200,Wed Oct 28 15:09:53 +0000 2015,RT @SaaSCommunity: .@Buffer’s Stack for #SaaS Startup Success: https://t.co/hCtMwf7aeK by @NikkiElizDemere https://t.co/v73RNIcCA2
659361322090545200,Wed Oct 28 13:29:24 +0000 2015,RT @EOPunjab: 4 Ways to Embrace Diversity for Workplace Success. https://t.co/igvSMGRL1j #businessintelligence #entrepreneurship
659340049167863800,Wed Oct 28 12:04:52 +0000 2015,RT @sandrolub87: 10 Trends for Startup Marketing in 2015 https://t.co/GTRw7ahXBz #SaaS #CustomerSuccess https://t.co/CdrftZmigs
659334013975437300,Wed Oct 28 11:40:53 +0000 2015,RT @deFactoCPM: See how deFacto Planning 4.0 leaps further ahead https://t.co/pVe1LTz0mf #BI #bigdata #cloud #analytics #news #CIO #CFO #MS…
659334006228545500,Wed Oct 28 11:40:51 +0000 2015,RT @electrolube: We'll be at #prod15 Launching new Conformal Coatings and Thermal management products for the #electronics #industry https:…
659312423397101600,Wed Oct 28 10:15:05 +0000 2015,RT @DropboxBusiness: Who's the fastest? Dropbox is 5x faster than other top file sync solutions: http://t.co/NeOu9sP9hr http://t.co/Ob6b4St…
659293562543194100,Wed Oct 28 09:00:09 +0000 2015,RT @SafeNetUK: Later TODAY: Live demo of the SafeNet Authentication Service. Register here https://t.co/a0vGJ7aZvd https://t.co/6YgYii4Hjb …
659263824789418000,Wed Oct 28 07:01:59 +0000 2015,RT @CognitionAgency: Make the most of your #BusinessIntelligence with these 10 excel tricks every #marketer should know: https://t.co/KUkiP…
659256198508761100,Wed Oct 28 06:31:40 +0000 2015,RT @JovieSylvia: Are you ready for new #ERP ? 10 Necessary Steps: Check out #infograph https://t.co/YPa0Ofzk7m
659256192397611000,Wed Oct 28 06:31:39 +0000 2015,RT @EEF_Economists: Our comments on UK GDP in @guardian "The news wasn’t wholly negative, with bright spots...." #ukmfg https://t.co/YUKZ5p…
659166591247130600,Wed Oct 28 00:35:36 +0000 2015,RT @NYCDataSci: Phocas Software Review https://t.co/oPxhHtGsmP #DiveIntoData #BusinessIntelligence https://t.co/DZBuHWG985
659145811620700200,Tue Oct 27 23:13:02 +0000 2015,Thanks for the recent follow @SupplychainC @winextcom Happy to connect :) have a great Tuesday. (insight by https://t.co/pHPvzSCHmU)
659135400406065200,Tue Oct 27 22:31:40 +0000 2015,Thanks for the recent follow @ReallySimpleSEO @sd_recruit @johnedden Happy to connect :) have a great Tuesday. (via https://t.co/pHPvzSCHmU)
659126612269637600,Tue Oct 27 21:56:45 +0000 2015,RT @UKmfg: RT @mfguk_news: Carpet recyclers ‘need higher value outlets’ https://t.co/oH6Yv0yYhV #ukmfg
659126607890612200,Tue Oct 27 21:56:43 +0000 2015,RT @TweetERP: Key Points to Consider When Negotiating the Next ERP Contract - Wall Street Journal (blog) https://t.co/Cd0z2TY8GA #erp
659121284085882900,Tue Oct 27 21:35:34 +0000 2015,@ForbiddenPlanet thanks for sharing Forbidden Planet, have a great Tuesday :) (insight by https://t.co/pHPvzSCHmU)
659118213859536900,Tue Oct 27 21:23:22 +0000 2015,RT @greenerequity: If interested in Business Intelligence ("BI"), you should check out our latest blog post: https://t.co/XFtuIwXaRv #BI #B…
