id,created_at,text
1260939538849042400,Thu May 14 14:26:27 +0000 2020,RT @partlowj: ’The land belonged to our ancestors’: Trump’s business partner in Indonesia exhumed graves in West Java to build resort https…
1245746550896279600,Thu Apr 02 16:14:57 +0000 2020,(14/14) It all adds up to a drop of $1 billion. This is the first full estimate of how much money coronavirus has c… https://t.co/mNiPZ2WYvz
1245746236331884500,Thu Apr 02 16:13:42 +0000 2020,(13/14) Finally, there’s Trump’s cash pile, an estimated $160 million as of March 1. Out of the markets, it’s safe… https://t.co/EkJ1h7SRxL
1245745623862784000,Thu Apr 02 16:11:16 +0000 2020,(12/14) Trump's business is somewhat shielded because much of it gets money from members, which pay regular dues. O… https://t.co/c97ewt1pdw
1245744171706613800,Thu Apr 02 16:05:29 +0000 2020,(11/14) Then we get to golf. There aren’t really any publicly traded companies that are similar to Trump’s golf clu… https://t.co/43fABlHXH2
1245743179762188300,Thu Apr 02 16:01:33 +0000 2020,(10/14) It’s hard to be certain how the price of the president’s condos have moved, since virtually nothing is sell… https://t.co/GUYc6Gjm2U
1245742719215034400,Thu Apr 02 15:59:43 +0000 2020,(9/14) Another one of the president’s low-key, but important, assets is his portfolio of residential properties. In… https://t.co/5kBCbYFebu
1245742077826261000,Thu Apr 02 15:57:10 +0000 2020,(8/14) The drop in commercial real estate shaved $680 million off of the president’s fortune, according to our numb… https://t.co/gH0vWtuCd4
1245741303805198300,Thu Apr 02 15:54:06 +0000 2020,(7/14) Next: Commercial real estate. This is by far the most important part of Trump’s business, even though it doe… https://t.co/fJEOHpeq08
1245739350261891000,Thu Apr 02 15:46:20 +0000 2020,(6/14) For Trump, the declines on the Trump International Hotel and the Trump National Doral Miami erased an estima… https://t.co/5k228abUKK
1245738562190016500,Thu Apr 02 15:43:12 +0000 2020,(5/14) The president does own a couple of hotels in a more traditional sense. For example, he owns a golf resort in… https://t.co/NU6ChzIl5v
1245737840786509800,Thu Apr 02 15:40:20 +0000 2020,(4/14) Applied to Trump’s hotel licensing and management business, that wiped out an estimated $38 million. https://t.co/J3l7SvPL0F
1245737037208211500,Thu Apr 02 15:37:09 +0000 2020,(3/14) Onto with Trump’s hotels. A lot of them aren’t really his. Instead other people own them, and Trump licenses… https://t.co/c4VrLvSbdY
1245733066267656200,Thu Apr 02 15:21:22 +0000 2020,(2/14) We'll start with a caveat: The markets are bouncing up and down right now. No one knows for sure what anythi… https://t.co/LsTbEgDwEV
1245732787690377200,Thu Apr 02 15:20:15 +0000 2020,(1/14) Donald Trump is worth an estimated $2.1 billion on the latest Forbes list after plunging roughly $1 billion… https://t.co/ynw4RdRQIT
1245687114609680400,Thu Apr 02 12:18:46 +0000 2020,Coronavirus has infected Donald Trump’s business, knocking an estimated $1 billion off his net worth. Our biannual… https://t.co/n2VoOI9j9m
1241116198433104000,Fri Mar 20 21:35:35 +0000 2020,RT @mtindera07: NEW: According to FEC filings detailing his Feb. fundraising, Michael Bloomberg put almost $1 billion into his presidential…
1234520331672572000,Mon Mar 02 16:45:58 +0000 2020,Joe Biden now has at least twice as many billionaire donors as any Democrat left in the 2020 presidential race. Via… https://t.co/HcIGXqZesE
1232485365589528600,Wed Feb 26 01:59:44 +0000 2020,@lalasoo Haha yes, certainly true! Poor wording on my part.
1232480319908921300,Wed Feb 26 01:39:41 +0000 2020,Bernie Sanders says that Mike Bloomberg's base of support is "all billionaires." Some billionaires certainly suppor… https://t.co/G0WXEs571a
1232475034452541400,Wed Feb 26 01:18:41 +0000 2020,@mtindera07 The reason those donations matter, however, is that they show who has the donors that can give really b… https://t.co/MtQvd0wTGn
1232474513830367200,Wed Feb 26 01:16:37 +0000 2020,@mtindera07 Mayor Pete responds by pointing out, correctly, that billionaires are not providing most of his campaig… https://t.co/Fmatrh7GYN
1232473693378318300,Wed Feb 26 01:13:21 +0000 2020,Bernie goes back to criticizing Pete Buttigieg and Joe Biden for taking donations from billionaires, citing figures… https://t.co/qifC03ZMNU
1230933633835425800,Fri Feb 21 19:13:42 +0000 2020,RT @mtindera07: NEW: This billionaire Trump donor just gave money to Tulsi Gabbard’s campaign: https://t.co/wwlzUKZdIt
1230335784231874600,Thu Feb 20 03:38:04 +0000 2020,Here are Bernie's three houses, which Mike Bloomberg just brought up. (L: Washington, D.C.; R-top: North Hero, Verm… https://t.co/FkqgZKIiQY
1230334072821555200,Thu Feb 20 03:31:16 +0000 2020,Joe Biden talks about how he made his first big money from his book, which is true. He's now worth an estimated $9… https://t.co/VxTucTZS5Z
1230332898617761800,Thu Feb 20 03:26:36 +0000 2020,Mike Bloomberg would owe an estimated $3.8 billion annually under the wealth tax that Elizabeth Warren is talking a… https://t.co/4hyrgQEMpR
1230319787470938000,Thu Feb 20 02:34:30 +0000 2020,@ChaseWithorn And this one, also by @ChaseWithorn, digs into the details of the estimated $100,000 that belong to P… https://t.co/N3gGtqyiZi
1230319143402033200,Thu Feb 20 02:31:56 +0000 2020,This story, by @ChaseWithorn, explains how Bernie Sanders amassed a $2.5 million fortune. https://t.co/Q9hp1bgUCl
1230318709673250800,Thu Feb 20 02:30:13 +0000 2020,Watching the #DemocraticDebate and all the clashes between Bernie Sanders and Pete Buttigieg, it can be easy to for… https://t.co/yunSMqBn1y
1230318028165918700,Thu Feb 20 02:27:30 +0000 2020,Here are the billionaires donating to Pete (and everyone else) that Bernie keeps referencing. @mtindera07 and… https://t.co/sejfuJkYup
1230140583152320500,Wed Feb 19 14:42:24 +0000 2020,The president has moved $1.9 million from his re-election campaign to his private business. Here's where all that m… https://t.co/K8oEKVBHgk
1229870582289911800,Tue Feb 18 20:49:31 +0000 2020,This is an enormous development, in politics and business. https://t.co/UqfFf8HKlA
1229780649860575200,Tue Feb 18 14:52:09 +0000 2020,Here are the latest figures on how many billionaires have donated to each candidate. (Via @mtindera07 and… https://t.co/Lj9i5Oftir
1225978411769790500,Sat Feb 08 03:03:25 +0000 2020,@mtindera07 (2/2) As the only person on this stage who is not a millionaire or billionaire..." responds Pete Buttig… https://t.co/X61awO00hz
1225978121431720000,Sat Feb 08 03:02:16 +0000 2020,(1/2) Bernie Sanders: “Unlike some of the folks up here, I don’t have 40 billionaires contributing to my campaign.”… https://t.co/W5PLojzqPM
1224704074484011000,Tue Feb 04 14:39:39 +0000 2020,RT @davidenrich: Exclusive: The relationship between @DeutscheBank and @realDonaldTrump was more extensive than previously known. This is t…
1223960816325734400,Sun Feb 02 13:26:13 +0000 2020,RT @MartynMcL: The Rockshiel Trust, listed among the assets of Steven Mnuchin, the US Treasury secretary, and which counts his wife, Louise…
1221590702804668400,Mon Jan 27 00:28:14 +0000 2020,RT @maggieNYT: SCOOP: Bolton book draft, circulated to associates and sent to WH for review process, describes a convo w POTUS where he say…
1220751319646064600,Fri Jan 24 16:52:49 +0000 2020,RT @KFaulders: BREAKING: ‘Take her out’: recording reviewed by ABC News appears to capture Trump at private dinner telling associates he wa…
1220392616065454000,Thu Jan 23 17:07:28 +0000 2020,RT @RandallLane: The 1st @forbes #under30 Voter Survey, w Zogby, just out. Yes, Bernie strong, but Biden holding, Warren falling ...and sho…
1219623355076182000,Tue Jan 21 14:10:42 +0000 2020,5 people, $219 billion. Meet the billionaires who have gained the most under Trump. (With @mtindera07) https://t.co/iSKLtRid6o
1219280080616272000,Mon Jan 20 15:26:39 +0000 2020,Three years after Trump took office, the net worth of Twitter cofounder Jack Dorsey has more than tripled.… https://t.co/gaRwbTzqGT
1219275442449985500,Mon Jan 20 15:08:13 +0000 2020,RT @AngelAuYeung: Despite @realDonaldTrump’s best efforts to tarnish @JeffBezos’ and his company’s reputations, the Amazon founder has adde…
1215669111663005700,Fri Jan 10 16:17:56 +0000 2020,RT @hvogell: Mayor de Blasio is making a referral to the Manhattan DA sparked by our story on discrepancies between what Trump reported to…
1214623580706812000,Tue Jan 07 19:03:22 +0000 2020,RT @Forbes: The quiet billionaires behind America’s Predator drone that killed Iran’s Soleimani: https://t.co/7CYyVgLIVE https://t.co/QgVQu…
1213112788605964300,Fri Jan 03 15:00:02 +0000 2020,Investor considering a purchase of Trump's D.C. hotel calls the $500 million asking price unrealistic. https://t.co/XEKtNWUHY4
1212735301925384200,Thu Jan 02 14:00:02 +0000 2020,As the new year begins, President Trump is now on the hook for an additional $500,000 of annual rent at 40 Wall Str… https://t.co/wqrN4g4cNW
1211710176975343600,Mon Dec 30 18:06:33 +0000 2019,RT @mtindera07: Who are the billionaires who have donated to @AndrewYang's campaign? @giacomotognini and I found just 4. Here they are: htt…
1211665786387009500,Mon Dec 30 15:10:09 +0000 2019,RT @JesseDrucker: EXCLUSIVE: The 2017 tax law gave big multinational companies a windfall. But they wanted more - and got it, through a ser…
1209298170385186800,Tue Dec 24 02:22:06 +0000 2019,@jimnhp @Forbes The story cites IRS filings and employees of the club, who spoke on the record. It never went to co… https://t.co/k7UNcGUFDJ
1208397525411074000,Sat Dec 21 14:43:15 +0000 2019,40 billionaires and their spouses have donated to Pete Buttigieg’s presidential campaign, according to an analysis… https://t.co/SqZNGoh3tf
1208393152400412700,Sat Dec 21 14:25:53 +0000 2019,Michelle Obama earned an estimated $36 million in a year, thanks to her bestseller Becoming, according to… https://t.co/epLBmQGJl4
1207853677568045000,Fri Dec 20 02:42:12 +0000 2019,RT @Christina_Vega7: Presidential candidates referencing  @forbes’ in-depth #2020Money package to get their point across in tonight’s #DemD…
1207853122237939700,Fri Dec 20 02:39:59 +0000 2019,RT @mtindera07: .@PeteButtigieg brings up that he is the poorest candidate on the #DemDebate stage (again). Here's a look at every presiden…
1205151768088174600,Thu Dec 12 15:45:46 +0000 2019,RT @Forbes: Presidential candidate Michael Bennet hasn’t gained much traction in the polls, but America’s richest people sure seem to like…
1204569261936709600,Wed Dec 11 01:11:06 +0000 2019,RT @bizcarson: Three years ago, Masayoshi Son promised to invest $50B in the US and create 50,000 jobs. How's he doing? Invested: $47B/$50B…
1204056677047316500,Mon Dec 09 15:14:16 +0000 2019,@DeniseHelton6 Hi Denise, Thanks for reading. If you have questions on where anything comes from, just let me know,… https://t.co/COGyjEuj6F
1203325232943116300,Sat Dec 07 14:47:46 +0000 2019,Joe Biden has accepted donations from at least 44 billionaires and their spouses, according to data whiz… https://t.co/buli88vOGU
1202951823440695300,Fri Dec 06 14:03:59 +0000 2019,The president is still charging his campaign for big expenses, without donating a dime of his own. The result: $1.7… https://t.co/CWPB91AicS
1202581853611409400,Thu Dec 05 13:33:51 +0000 2019,RT @Fahrenthold: In Jan., @partlowj &amp; I were invited a house in Ossining, NY, to meet undocumented workers who'd just been fired from @real…
1202393402203091000,Thu Dec 05 01:05:01 +0000 2019,RT @Fahrenthold: NEW: They ironed @realdonaldtrump's clothes and replenished his supplies of Tic-Tacs and face makeup. The job required inv…
1200063256985063400,Thu Nov 28 14:45:51 +0000 2019,RT @nickconfessore: NEW: At least nine Republican Party committees, candidates, or groups with ties to President Trump are selling or promo…
1199682619522334700,Wed Nov 27 13:33:20 +0000 2019,RT @hvogell: I found more discrepancies between what Trump’s biz told a lender and what it told tax officials - this time at Trump Tower. h…
1198010380213244000,Fri Nov 22 22:48:27 +0000 2019,@DeLeonla Luke, you have my vote any day, regardless of your bank account.
1198005612975661000,Fri Nov 22 22:29:30 +0000 2019,Odds someone in your household is a 2020 presidential candidate:   -If your household is worth &lt;$100,000: No one is… https://t.co/e7iCDBHPHI
1197940647069671400,Fri Nov 22 18:11:21 +0000 2019,RT @weareoversight: With all eyes on the impeachment hearings, Commerce Secretary Wilbur Ross (remember him?) has been flying under the rad…
1197866592488640500,Fri Nov 22 13:17:05 +0000 2019,Everyone knows there is a big gap between the rich and the poor in the United States, but there’s also a big gap be… https://t.co/26TvzJvALm
1197344367113097200,Thu Nov 21 02:41:57 +0000 2019,Here's the @Forbes list that @PeteButtigieg just called out. He's right -- he's the poorest one on the stage, worth… https://t.co/JzNc4HGgNE
1197197470574493700,Wed Nov 20 16:58:14 +0000 2019,“If I were in the Department of Justice public integrity division, this set of facts would be enough for me to want… https://t.co/if0KWrnZoh
1196848087312060400,Tue Nov 19 17:49:55 +0000 2019,RT @ChaseWithorn: As part of @Forbes' deep dive into all of the 2020 presidential candidates' fortunes (see here: https://t.co/0fDRMKQUp4),…
1196483442315317200,Mon Nov 18 17:40:56 +0000 2019,RT @mtindera07: Billionaires have been top of mind in this presidential race. @giacomotognini and I combed through some 2.5 million FEC rec…
1196392854169555000,Mon Nov 18 11:40:58 +0000 2019,Nearly 20% of American billionaires have donated—either directly or through their spouse—to Democrats running for p… https://t.co/vVVQIIhiWa
1195510832609804300,Sat Nov 16 01:16:08 +0000 2019,RT @Fahrenthold: The search for a G-7 site started with 10 options. Secret service narrowed it down to 4. Then they were told to axe 2 and…
1194238358358241300,Tue Nov 12 12:59:47 +0000 2019,No billionaire or spouse of a billionaire had given to Bernie's campaign -- except Marta Thoma Hall, who donated ju… https://t.co/XHxmzzWRNf
1192871048049516500,Fri Nov 08 18:26:34 +0000 2019,Elizabeth Warren's tax plan targets billionaires -- including President Trump. It would cost him an estimated $145… https://t.co/lY2NX5fMWH
1192841071979647000,Fri Nov 08 16:27:28 +0000 2019,RT @ChaseWithorn: How much are the Trump kids worth? I've seen big numbers thrown out ($300M? $800M?), so I dug into the first family's fin…
1187796122191966200,Fri Oct 25 18:20:38 +0000 2019,RT @ChaseWithorn: The Trumps reportedly want $500M for their D.C. hotel. That's far more than it's worth, according to the 7 experts I spok…
1187795565452714000,Fri Oct 25 18:18:25 +0000 2019,Trumps reportedly want $500M for their DC hotel. It's unlikely they'll it from someone just looking at the economic… https://t.co/TOxBdUZCQw
1187769726417678300,Fri Oct 25 16:35:45 +0000 2019,RT @DenizCam: The Trump Organization is exploring a sale of the rights to the company’s opulent Washington, D.C., hotel  https://t.co/kKXuB…
1187454735139426300,Thu Oct 24 19:44:05 +0000 2019,RT @Fahrenthold: SCOOP: New Jersey is seeking to revoke the liquor license for one of @realdonaldtrump's golf clubs, after a Trump customer…
1187043954870628400,Wed Oct 23 16:31:47 +0000 2019,RT @Fahrenthold: When @realdonaldtrump made a side trip to his Irish golf club this summer, dozens of Irish cops were sent to protect him.…
1185738650602094600,Sun Oct 20 02:04:58 +0000 2019,RT @realDonaldTrump: ....Therefore, based on both Media &amp; Democrat Crazed and Irrational Hostility, we will no longer consider Trump Nation…
1185557675523874800,Sat Oct 19 14:05:51 +0000 2019,4/ "I saw that Eric was getting billed," that employee added. "I would always say, 'I can't believe that his dad is… https://t.co/RrkcT5OSmL
1185557212057485300,Sat Oct 19 14:04:00 +0000 2019,3/ "In the early years, they weren't being billed [for the club]--the bills would just disappear," said another for… https://t.co/6pydVGxZ3x
1185556076030300200,Sat Oct 19 13:59:29 +0000 2019,2/ "They were wearing two hats," one former employee said. "You're dealing with people talking about the event and… https://t.co/nlrkB3VK91
1185554997217583000,Sat Oct 19 13:55:12 +0000 2019,In light of this week's announcement that the G-7 is coming to Doral, it might be helpful to remember another insta… https://t.co/wtfYcVIUFC
1184873180709691400,Thu Oct 17 16:45:54 +0000 2019,RT @PeterAlexander: BREAKING: WH announces G7 next June will be hosting at Trump National Doral property in Florida.
1184479677295091700,Wed Oct 16 14:42:16 +0000 2019,RT @hvogell: I dug up some Trump tax records. They show his businesses telling a different story to a lender than to the taxman. https://t.…
1179535214386827300,Wed Oct 02 23:14:44 +0000 2019,RT @MartynMcL: EXC Trump Org’s plans for major expansion of Turnberry, its flagship overseas resort, have been rejected. @EricTrump hoped t…
1179445081360814000,Wed Oct 02 17:16:35 +0000 2019,RT @ChaseWithorn: 62 interviews, 110 pages of research &amp; countless hours scouring documents later, @DanAlexander21 and I bring you the late…
1179387205623730200,Wed Oct 02 13:26:36 +0000 2019,@ChaseWithorn 11/ These numbers are through September 13, 2019. They’re still selling, so @ChaseWithorn and I will… https://t.co/G2xnLl6rlH
1179386551421296600,Wed Oct 02 13:24:00 +0000 2019,@ChaseWithorn 10/ The people signing the papers in these deals were mostly the president’s sons, Don Jr. and Eric,… https://t.co/1EzfzJdnGu
1179386317660180500,Wed Oct 02 13:23:04 +0000 2019,9/ Finally, he ditched some parking spots in Chicago, collecting an estimated $300K. And he got rid of residential… https://t.co/YHZTFIoSB9
1179385969906192400,Wed Oct 02 13:21:41 +0000 2019,8/ Trump got rid of a warehouse in North Charleston, South Carolina, for $4.1 million. He got another $3.2 million… https://t.co/ZbvcPQc7GM
1179385799806214100,Wed Oct 02 13:21:01 +0000 2019,7/ Back in New York, Trump sold two units in Trump Parc East for a combined $5 million. One of those sales went to… https://t.co/BVZivP8Zz9
1179385640670175200,Wed Oct 02 13:20:23 +0000 2019,6/ On the other side of the country, he sold a mansion in Beverly Hills, California to a company tied to Indonesian… https://t.co/JHpQbD4wi4
1179385497854062600,Wed Oct 02 13:19:49 +0000 2019,5/ Then there’s Trump Park Ave, where Jared and Ivanka used to live in a penthouse owned by Ivanka's dad. Shortly t… https://t.co/xSo2jb5PTg
1179384814308397000,Wed Oct 02 13:17:06 +0000 2019,4/ To Vegas! Trump owns a bunch of hotel-condo units there, in partnership with fellow billionaire Phil Ruffin. Tog… https://t.co/qgJcFn7jdW
1179384567947497500,Wed Oct 02 13:16:07 +0000 2019,3/ Next up: Rancho Palos Verdes, California, where Trump owns a golf course and a bunch of residential lots surroun… https://t.co/Olax3t9Ybm
1179384412519186400,Wed Oct 02 13:15:30 +0000 2019,2/ First stop: Spring Creek Towers in Brooklyn, N.Y., where Trump owned a 4% stake in America’s largest federally s… https://t.co/07xjXJ3IZp
1179384266435825700,Wed Oct 02 13:14:55 +0000 2019,1/ Donald Trump has sold off $110 million worth of real estate since he became president of the United States. Let’… https://t.co/UbOigtsVLj
1179355919152566300,Wed Oct 02 11:22:17 +0000 2019,RT @ChaseWithorn: Donald Trump’s sons have been quietly making deals, selling off more than $100M of the president’s real estate portfolio…
1179355754723238000,Wed Oct 02 11:21:37 +0000 2019,The Forbes 400 ranking of America's richest people is out this morning.   1. Jeff Bezos: $114 billion 2. Bill Gates… https://t.co/JysjrbXuV9
1174364927945060400,Wed Sep 18 16:49:52 +0000 2019,RT @NatashaBertrand: 184k since August 2017, booking the equivalent of one room every night for one and a half years, according to the comm…
1174362455952253000,Wed Sep 18 16:40:02 +0000 2019,@tesla2turing I don't believe that's the case. At the end of last year, I confirmed that he sold the vast majority… https://t.co/EidErcoaI0
1173719122624098300,Mon Sep 16 22:03:40 +0000 2019,NEW: Wilbur Ross has still not divested all the private equity interests he promised he would more than a year ago. https://t.co/RxpyfGlp52
1171568954340520000,Tue Sep 10 23:39:40 +0000 2019,RT @HorsleyScott: https://t.co/I5ObghXkdt
1169920958259441700,Fri Sep 06 10:31:07 +0000 2019,Presidential candidate Cory Booker once held stock in a Russian company, which he did not disclose. @mtindera07 unc… https://t.co/fY6dHY4dwi
1169715640065822700,Thu Sep 05 20:55:15 +0000 2019,RT @russchoma: NEW: Mother Jones has spent months investigating Donald Trump’s most mysterious loan—a $50 million debt he claims to owe him…
1167157677623062500,Thu Aug 29 19:30:49 +0000 2019,https://t.co/mAfe6UIGYs
1166806993715290000,Wed Aug 28 20:17:20 +0000 2019,RT @Lawrence: Last night I made an error in judgment by reporting an item about the president’s finances that didn’t go through our rigorou…
1166754477292101600,Wed Aug 28 16:48:39 +0000 2019,RT @ChaseWithorn: Donald Trump has about $140M in cash/liquid assets, by @Forbes' estimates. So he could single-handedly pay to paint the b…
1166454470810714000,Tue Aug 27 20:56:32 +0000 2019,RT @Fahrenthold: NEW: Merry Christmas, Mr. President! @realDonaldTrump's new Attorney General, Bill Barr, booked the Trump Hotel's presiden…
1166132077156286500,Mon Aug 26 23:35:27 +0000 2019,RT @SchreckReports: NEW: Executives claim Joe Biden's brother offered Biden's aid with their private business ventures, saying the former V…
1165971178147778600,Mon Aug 26 12:56:06 +0000 2019,RT @Fahrenthold: NEW: @realDonaldTrump says he’s likely to hold next year’s G-7 meeting at his own huge, struggling Doral resort. https://t…
1164898687035859000,Fri Aug 23 13:54:24 +0000 2019,RT @JaneMayerNYer: Sources close to the family say David Koch has died.
1161580961257132000,Wed Aug 14 10:10:56 +0000 2019,We figured out how much money the presidential candidates have:   1. Donald Trump: $3.1 billion 2. Tom Steyer: $1.6… https://t.co/tPSV77nM6l
1159840149590569000,Fri Aug 09 14:53:35 +0000 2019,RT @Fahrenthold: NEW: Even as @realdonaldtrump railed against illegal immigration, his company quietly relied on its own crew of largely un…
1159814377459073000,Fri Aug 09 13:11:10 +0000 2019,Think Mar-a-Lago and the Trump hotel offer big conflicts of interest? Wait until you read what @ChaseWithorn has to… https://t.co/84MY1AG02Y
1158565649477722000,Tue Aug 06 02:29:10 +0000 2019,RT @KerryDolan: Here Are The Democratic Presidential Candidates With The Most Donations From #Billionaires via @forbes @giacomotognini http…
1157292761441276000,Fri Aug 02 14:11:10 +0000 2019,RT @SchreckReports: Three former executives at a hedge fund owned by James and Hunter Biden say the pair planned to use Joe's connections t…
1156932541108166700,Thu Aug 01 14:19:47 +0000 2019,(4/4) Here’s the official document that explains how all of this works. The details are always in the footnotes. https://t.co/BRnei6e1mJ
1156932257820610600,Thu Aug 01 14:18:39 +0000 2019,(3/4) Since there hasn’t been that much inflation lately, that’s when Trump gets big jumps. He had one on 8/1/13, w… https://t.co/Bjwwva1GfW
1156932051502870500,Thu Aug 01 14:17:50 +0000 2019,(2/4) Here’s how the rent increases work: The price goes up every year in August, to match inflation. But every thr… https://t.co/XcPsVtqasQ
1156931970254983200,Thu Aug 01 14:17:31 +0000 2019,(1/4) Looks like the Trump Tower rent for Gucci, which has the most lucrative lease in the president’s entire portf… https://t.co/QtbiCcJcgE
1154420865263636500,Thu Jul 25 15:59:17 +0000 2019,RT @BrianSlodysko: Turns out the Shortest Way Home is aboard a private jet: Buttigieg leads 2020 Dems in private flights https://t.co/bSSOz…
1154406423712997400,Thu Jul 25 15:01:53 +0000 2019,Betsy DeVos has nearly twice as much money as all of her colleagues in Trump’s cabinet—combined.… https://t.co/89EE8oD1O5
1154354509973524500,Thu Jul 25 11:35:36 +0000 2019,@bandphan We certainly will.
1154351098989359000,Thu Jul 25 11:22:03 +0000 2019,@NDH_j_m_f True for most of them. Not true for all of them. See Mike Pence: https://t.co/KwwbyjFJhV
1154350598734733300,Thu Jul 25 11:20:04 +0000 2019,@KeenEye_NY $3.1 billion. Here's the asset-by-asset breakdown. https://t.co/lQeFrPP5gW
1154349282868301800,Thu Jul 25 11:14:50 +0000 2019,We figured out how much money every member of Donald Trump's cabinet has:   1. Betsy DeVos: $2B 2. Wilbur Ross: $60… https://t.co/VagtYEmJWU
1154039711846944800,Wed Jul 24 14:44:42 +0000 2019,Congressman Buck: “Could you charge the president with a crime after he left office?   Mueller: “Yes.”  Buck: You b… https://t.co/0dtFExFM4M
1154034626538680300,Wed Jul 24 14:24:30 +0000 2019,For two years, it has been a big mystery how much money Betsy DeVos really has. @ChaseWithorn may have cracked the… https://t.co/lymvV7fB7V
1154032131900788700,Wed Jul 24 14:14:35 +0000 2019,17 / The ethics official prob wouldn't want to discuss scandals before Ross got into government. But if he did, the… https://t.co/wx7q6E554s
1154030784400855000,Wed Jul 24 14:09:14 +0000 2019,16 / Why did Ross need an extension for his 2019 financial disclosure report, which has still not been released to… https://t.co/2XxV0ITnht
1154028943273390000,Wed Jul 24 14:01:55 +0000 2019,15 / Why did Ross hold onto a stake in Bank United for 16 months after he said he would divest it? https://t.co/M0wKZL1ecB
1154027601331015700,Wed Jul 24 13:56:35 +0000 2019,14 / Why did the commerce department issue a misleading response to questions about one of his conflict-ridden meet… https://t.co/bKLQQ9nZbf
1154026961666105300,Wed Jul 24 13:54:03 +0000 2019,13 /  Why was one of his deputies, Wendy Teramoto, working on trade deals in China while -- according to her own fi… https://t.co/1kurvRzbr6
1154025420192227300,Wed Jul 24 13:47:55 +0000 2019,12 / Why did he hold onto an interest in Air Lease Corp. for 13 months after he promised federal officials he would… https://t.co/W89VIeKjGe
1154021822448275500,Wed Jul 24 13:33:37 +0000 2019,11 / Why did Ross schedule a meeting with the CEO of Chevron while his wife had a stake in that company? https://t.co/OuAb78DeMw
1154021308016939000,Wed Jul 24 13:31:35 +0000 2019,10 / Why did Ross take a meeting with the CEO of railcar manufacturer Greenbier while he himself held an investment… https://t.co/rvcdRuYYVZ
1154020980139839500,Wed Jul 24 13:30:16 +0000 2019,9/ Why did take an official meeting with the CEO of Boeing while his wife held an investment in the company? https://t.co/Nrv2MFwZ7C
1154020653952954400,Wed Jul 24 13:28:59 +0000 2019,8/ Why did Ross take a meeting with a trade group, whose members included a company in which he held an interest? https://t.co/gLVl3Bls0d
1154020083381014500,Wed Jul 24 13:26:43 +0000 2019,7/ Why did Ross open a short position in Sun Bancorp one day before he told officials he had divested his interests… https://t.co/TQv5BEjsVk
1154019414863315000,Wed Jul 24 13:24:03 +0000 2019,6/ Why did Ross hang onto an interest that made him business partners with the government of China?
