id,created_at,text
1260950899331080200,Thu May 14 15:11:36 +0000 2020,Important story from @ronbrownstein https://t.co/vv7qoKzGOM
1260948667550306300,Thu May 14 15:02:44 +0000 2020,President Trump is "using the tools of national authority to advance the priorities of red America while weakening… https://t.co/OROe2cgycK
1254931512920809500,Tue Apr 28 00:32:42 +0000 2020,RT @adrienneelrod: Never thought I'd quoted, using an expletive, in the same story as Joe Walsh and his dog Mabel. But we are living in str…
1254907391231000600,Mon Apr 27 22:56:51 +0000 2020,RT @WalshFreedom: For the record, Mabel is my four-year old black lab, and @PeterAtlantic, she thanks you for the mention. And yes, she aga…
1254896447075627000,Mon Apr 27 22:13:22 +0000 2020,Pres. Trump is back taking questions from the press, after a two-day hiatus and myriad reports he would be scaling… https://t.co/LMehsh5W6T
1254839559705317400,Mon Apr 27 18:27:19 +0000 2020,RT @mimbsy: "In the Chicago suburbs lives a four-year-old black Labrador retriever named Mabel, whose happiest part of the day is President…
1254826157805109200,Mon Apr 27 17:34:04 +0000 2020,Re-upping our story, in light of White House announcement that Pres. Trump is giving a news conference this afterno… https://t.co/8gbtZmbCGZ
1254809505549951000,Mon Apr 27 16:27:54 +0000 2020,How Trump-averse Republicans and Democrats are getting through his daily press briefings: booze, junk food, and the… https://t.co/zpjHMHa7oE
1254019648246485000,Sat Apr 25 12:09:17 +0000 2020,How Cancer Prepared Me for Life Under Coronavirus https://t.co/xy4RdqB6m6
1253884427219894300,Sat Apr 25 03:11:58 +0000 2020,Michael Steele, former RNC chair: "I don’t know what argument is going to move" undecideds to Trump ... "unless you… https://t.co/Wfnmr9GNhY
1253811446368125000,Fri Apr 24 22:21:58 +0000 2020,RT @DougHeye: Folks, if you'd suggested ingesting cleaning products, you wouldn't want to answer questions, either.
1253807035122057200,Fri Apr 24 22:04:26 +0000 2020,Pres. Trump abruptly ends daily news conference just now without taking questions, a rarity. Abbreviated event come… https://t.co/4XTDsNRYgu
1253739751942893600,Fri Apr 24 17:37:04 +0000 2020,The president’s daily briefings are gutting spectacles. They are also, @megangarber writes, evidence of dystopia pl… https://t.co/KBWMEZInDl
1253658427475267600,Fri Apr 24 12:13:55 +0000 2020,Pres. Trump making economic nationalist argument, with an eye to that sliver of persuadable voters who don't necess… https://t.co/bkQ2AXuja4
1253658124126470100,Fri Apr 24 12:12:43 +0000 2020,As Trump navigates the political fallout of the coronavirus pandemic, he's turning to a strategy that worked for hi… https://t.co/stMbpZx9zq
1253451225883869200,Thu Apr 23 22:30:34 +0000 2020,RT @Scaramucci: Professor Tribe @tribelaw was one of the most memorable teachers of my lifetime. I took his constitutional law class in the…
1253107889935351800,Wed Apr 22 23:46:17 +0000 2020,Pres. Trump’s daily news conference is still going - starting to bleed into TV prime-time hour.
1253092617144934400,Wed Apr 22 22:45:35 +0000 2020,Fox News crawl: “Trump: Pence has done ‘an incredible job.’ “
1252962558862078000,Wed Apr 22 14:08:47 +0000 2020,The coronavirus has reignited the post-9/11 debate about security and civil liberties. The U.S. response to that tr… https://t.co/0CJRmzVjRU
1252356083433140200,Mon Apr 20 21:58:52 +0000 2020,At the daily coronavirus task force briefing, Pres. Trump just invited Army Corps of Engineers Gen. Semonite to tal… https://t.co/XxvSTY7Rs9
1252231174505795600,Mon Apr 20 13:42:31 +0000 2020,Joe Biden oversaw the 2009 economic recovery for Barack Obama. If he wins the presidency, his first task will be to… https://t.co/2MZHJQFGiM
1251874044728823800,Sun Apr 19 14:03:25 +0000 2020,Jacinda Ardern’s leadership style, focused on empathy, isn’t just resonating with her people; it’s putting the coun… https://t.co/yYC1pN5lGD
1251635587569913900,Sat Apr 18 22:15:52 +0000 2020,With President Trump using his COVID-19 news conference to discuss “Sleepy Joe Biden” (without having been asked),… https://t.co/wqNZZh1QYp
1251627582782570500,Sat Apr 18 21:44:04 +0000 2020,In his daily pandemic news briefing, Pres. Trump just segued into a long riff about @maggieNYT. He’s also reference… https://t.co/PehNO1Q7SA
1251542955745304600,Sat Apr 18 16:07:47 +0000 2020,RT @brianstelter: I crawled in bed and cried for our pre-pandemic lives. Tears that had been waiting a month to escape.  I wanted to share…
1251542930138988500,Sat Apr 18 16:07:41 +0000 2020,RT @brianstelter: Last night, I hit a wall. Gutted by the death toll. Disturbed by the govt's shortcomings. Dismayed by political rhetoric…
1251540155099472000,Sat Apr 18 15:56:40 +0000 2020,“How does this situation get worse? If you politicize all that emotion. ... I’m not running for anything. I’m not g… https://t.co/m5EtXP4uJf
1251355862658101200,Sat Apr 18 03:44:21 +0000 2020,RT @DougHeye: Hey @Twitter - when a person is trending, putting some notification that they did not die would save a lot of unnecessary str…
1251141437909020700,Fri Apr 17 13:32:18 +0000 2020,"Many respectable people in the United States are letting their disdain for the president blind them to what is rea… https://t.co/833e9MNImt
1251140502910644200,Fri Apr 17 13:28:35 +0000 2020,Chinese leaders’ combination of superiority and insecurity is growing more dangerous, H. R. McMaster argues. The U.… https://t.co/kSEkuaxdfi
1251123253302702000,Fri Apr 17 12:20:02 +0000 2020,Some Sanders voters are mourning not only his departure from the race but the loss of something much bigger: hope,… https://t.co/6Yge5Cuata
1250598045542166500,Thu Apr 16 01:33:03 +0000 2020,NY Gov. Andrew Cuomo, in interview with his brother, CNN's Chris Cuomo: "Let's get back to all those simple things that we took for granted.
1250452320183300000,Wed Apr 15 15:54:00 +0000 2020,RT @UriLF: Tony Fauci has become a target for Trump allies who are loath to blame the president for the coronavirus disaster. But he's also…
1250441817696292900,Wed Apr 15 15:12:16 +0000 2020,White House official, on Dr. Fauci: “We’ve asked the guy to go out and do a lot of interviews. Somewhere along the… https://t.co/ikmENpyKcE
1250440464664105000,Wed Apr 15 15:06:53 +0000 2020,Fauci is mixed in with ideologues who are suspicious of “deep state” bureaucrats; free-marketeers who want to quick… https://t.co/GE3jVnBsCz
1250438096295870500,Wed Apr 15 14:57:28 +0000 2020,Media-bashing robocalls, chloroquine Twitter trolls, briefing-room propaganda—how the president and his allies are… https://t.co/7Nk3UGoSMK
1250409244580630500,Wed Apr 15 13:02:50 +0000 2020,RT @UriLF: How did Tony Fauci, an apolitical infectious-disease expert who has served the past 6 presidents, become such a political lightn…
1250205876948029400,Tue Apr 14 23:34:43 +0000 2020,White House official: "I guess I don’t understand why people want Dr. Fauci to quit or be fired. ... We’re all work… https://t.co/u1P3oqkfru
1250205076414742500,Tue Apr 14 23:31:32 +0000 2020,Anthony Fauci seems to be a convenient proxy for those who are upset about the rolling COVID-19 tragedy but are loa… https://t.co/12np6yKwxe
1250158424026988500,Tue Apr 14 20:26:09 +0000 2020,Philadelphia Mayor Jim Kenney said that reopening the economy should be based on "science and medicine." If it save… https://t.co/hbbNLSw8Zf
1250158118484480000,Tue Apr 14 20:24:56 +0000 2020,"We're scrounging and begging and borrowing and stealing" to obtain personal protective equipment needed to deal wi… https://t.co/qKeyXAECzG
1250092815998206000,Tue Apr 14 16:05:27 +0000 2020,NY Gov. Andrew Cuomo, speaking of Pres. Trump: "I'm not going to fight with him."
1249832988197761000,Mon Apr 13 22:52:59 +0000 2020,"The President of the United States calls the shots," Pres. Trump says, in response to questions about his authorit… https://t.co/H4b1wkHKkN
1249827443483050000,Mon Apr 13 22:30:57 +0000 2020,CNN chyron just now: "Trump Melts Down in Angry Response to Reports he Ignored Virus Warnings."
1249822751491330000,Mon Apr 13 22:12:19 +0000 2020,CNN and MSNBC both cut away from Pres. Trump's press briefings as WH airs a video testimonial to his handling of the pandemic.
1249532249743163400,Mon Apr 13 02:57:58 +0000 2020,RT @SteveSchmidtSES: I can do for you.”  Truman said he felt like the “ moon, the stars, all the planets had fallen on me”. He rose to the…
1248972881322803200,Sat Apr 11 13:55:14 +0000 2020,"In the states that will likely decide the 2020 presidential election, Donald Trump has already lost his newly decl… https://t.co/TVdjZORJK6
1248704085957673000,Fri Apr 10 20:07:08 +0000 2020,Pres. Trump leaves the stage after a daily coronavirus news conference that clocks in at 2 hours, 20 minutes.
1248702046649401300,Fri Apr 10 19:59:02 +0000 2020,Pres. Trump: "These are the saddest news conferences I've ever had. I don't like doing them." He's held more than t… https://t.co/JeK8gHyKxV
1248701683191996400,Fri Apr 10 19:57:35 +0000 2020,As Pres. Trump's news conference enters hour 3, he starts to spar with CNN correspondent about medical supply levels.
1248693894751101000,Fri Apr 10 19:26:38 +0000 2020,RT @davidaxelrod: Having tuned in to hear about the COVID-19 crisis that is ravaging the nation, I’m signing off for now.
1248343451109908500,Thu Apr 09 20:14:06 +0000 2020,The White House coronavirus briefings have become a boring show of President vs. the press. https://t.co/yU1CL7lVKe via @WSJ
1248056903646748700,Thu Apr 09 01:15:28 +0000 2020,CNN's Chris Cuomo presses his brother, NY Gov. Andrew Cuomo, about whether he's more likely to enter the presidenti… https://t.co/mMBwCl0WCU
1248056296118595600,Thu Apr 09 01:13:03 +0000 2020,CNN anchor Chris Cuomo, interviewing his brother, NY Gov. Andrew Cuomo, asks if he's been 'soft' on Pres. Trump. "T… https://t.co/rvNRp7aJXU
1248051915801473000,Thu Apr 09 00:55:39 +0000 2020,RT @ColleenMNelson: A reporter asking President Trump about possibly pardoning Tiger King perfectly encapsulates everything that’s wrong wi…
1248040013188812800,Thu Apr 09 00:08:21 +0000 2020,RT @pwidakuswara: I'll take it as a compliment. #COVID19 https://t.co/6YdIgTCZMV
1248038857167319000,Thu Apr 09 00:03:45 +0000 2020,RT @hookjan: Can @JoeBiden persuade young people and progressives to rally to his side? “They are looking for something more than just, ‘We…
1248034998004973600,Wed Apr 08 23:48:25 +0000 2020,Re-upping our story about Pres. Trump politicizing the bully pulpit, after he spent part of a Coronavirus Task Forc… https://t.co/U2kaJmZZIs
1248018679633047600,Wed Apr 08 22:43:34 +0000 2020,At Coronavirus task force briefing, Pres. Trump makes a case for Bernie Sanders supporters to vote for him in the g… https://t.co/7WdzXYqbaI
1247920452892266500,Wed Apr 08 16:13:15 +0000 2020,RT @nora_kelly: .@PeterAtlantic two months ago: "If Sanders falters, Trump will argue that he was unfairly robbed of a nomination he earned…
1247707908009230300,Wed Apr 08 02:08:41 +0000 2020,RT @TheAtlantic: Trump's focus in the coming months will be to convince voters that he led a dauntless effort to keep Americans alive, @Pet…
1247620072241336300,Tue Apr 07 20:19:39 +0000 2020,RT @peterbakernyt: "Trump’s opponent really is the coronavirus," Graham tells @PeterAtlantic. "If he’s seen to have handled this well and d…
1247545092707156000,Tue Apr 07 15:21:43 +0000 2020,At coronavirus task force briefings, President Trump has repeatedly brought up Democratic presidential candidate Jo… https://t.co/XDg3r0XCBW
1247531913155195000,Tue Apr 07 14:29:20 +0000 2020,In light of reports that Stephanie Grisham is leaving the White House press secretary job, re-upping my piece about… https://t.co/aQBdgY7cZD
1247518835072102400,Tue Apr 07 13:37:22 +0000 2020,Sen. Lindsey Graham: “Trump’s opponent really is the coronavirus. If he’s seen to have handled this well and done a… https://t.co/v3yobk2cfw
1247517193312575500,Tue Apr 07 13:30:51 +0000 2020,Colin Powell, who briefed reporters during the first Gulf War in 1990-91, said he tried to limit the sessions to 30… https://t.co/uTmU4ii7sX
1247515922249781200,Tue Apr 07 13:25:48 +0000 2020,RT @NickBaumann: Read @PeterAtlantic on how Trump's coronavirus press conferences are, inescapably and intentionally, part of his reelectio…
1247503063763517400,Tue Apr 07 12:34:42 +0000 2020,Pres. Trump has held 24 straight news conferences and press gaggles. Why he's doing it: https://t.co/JRjrKytnLu
1247501814959878100,Tue Apr 07 12:29:44 +0000 2020,A Trump pollster describes the pandemic as tantamount to the 9/11 attacks and the 2008 financial collapse combined. https://t.co/JRjrKytnLu
1247500016152916000,Tue Apr 07 12:22:35 +0000 2020,Trump's focus in the coming months will be to convince voters that he led a dauntless effort to keep Americans aliv… https://t.co/26noeiJmbS
1246940012853309400,Sun Apr 05 23:17:20 +0000 2020,RT @morningmika: Why is this briefing happening...
1246542458676281300,Sat Apr 04 20:57:36 +0000 2020,RT @cecmunoz: My cousin lost her husband this morning to this terrible virus, and the only reason she was able to be at his side is that sh…
1245389550614188000,Wed Apr 01 16:36:21 +0000 2020,NY Gov. Andrew Cuomo, at his daily news conference, says his message to fellow governors and officials in other sta… https://t.co/8rNKXjoXq6
1245378727011405800,Wed Apr 01 15:53:21 +0000 2020,VP Mike Pence, asked by CNN's Wolf Blitzer if the the U.S. was slow in reacting to the coronavirus outbreak: "The r… https://t.co/teI0Oys9Jn
1245347900374253600,Wed Apr 01 13:50:51 +0000 2020,RT @TheAtlantic: How will Trump react when requests for help with the pandemic are coming from Republican governors? @PeterAtlantic asks: h…
1245133827074384000,Tue Mar 31 23:40:12 +0000 2020,Pres. Trump, on NY Gov Andrew Cuomo: “I think he’d like to run for President.”
1245128061303099400,Tue Mar 31 23:17:17 +0000 2020,Pres. Trump, asked just now about NY Gov Cuomo’s concern that states are competing with each other and FEMA to buy… https://t.co/YaJGrl2UVc
1245115864082505700,Tue Mar 31 22:28:49 +0000 2020,Pres. Trump, at news conference just now: “For whatever reason, New York got off to a very late start.”
1245105589153419300,Tue Mar 31 21:48:00 +0000 2020,@elainaplott Does that look mean, “I’m ready for breakfast”?
1245104305616621600,Tue Mar 31 21:42:54 +0000 2020,CNN not carrying Pres. Trump’s news conference, now underway. MSNBC and Fox carrying it live.
1245103732435583000,Tue Mar 31 21:40:37 +0000 2020,RT @elainaplott: If you need a little laugh, here is the view I woke up to this morning. https://t.co/3yNTLvq5UN
1245023561233969200,Tue Mar 31 16:22:03 +0000 2020,New York Gov Andrew Cuomo: “You have 50 states competing to buy the same item. It’s like being on EBAY. How ineffic… https://t.co/PeWWzYMoe7
1245017243425087500,Tue Mar 31 15:56:56 +0000 2020,NY Gov Andrew Cuomo, at news briefing, says his brother Chris, a CNN anchor, tested positive for the coronavirus. “… https://t.co/EKenezp5FK
1245016250234941400,Tue Mar 31 15:52:59 +0000 2020,New York Gov Andrew Cuomo, at his daily news conference: “The White House has been very helpful.”
1245014180383637500,Tue Mar 31 15:44:46 +0000 2020,New York Gov Andrew Cuomo, speaking about when the crisis might end: “It is not going to be soon.”
1244992118071967700,Tue Mar 31 14:17:06 +0000 2020,“It’s unprecedented that a president in the middle of something like this would ask you to bow down and kiss his yo… https://t.co/GoDin0JuwR
1244981359929688000,Tue Mar 31 13:34:21 +0000 2020,A White House aide tells me: “We have a really productive call with Governor X, who is incredibly complimentary, an… https://t.co/TJLMZ8yovA
1244977248874246100,Tue Mar 31 13:18:01 +0000 2020,“We’re trying to act as if we’re interacting with a normal president, or at least a normal Republican president," a… https://t.co/ZbPNssOQNP
1244975074576412700,Tue Mar 31 13:09:22 +0000 2020,The president's counselor, Kellyanne Conway, on MI Gov. Whitmer: “If she spent less time on TV auditioning to be Jo… https://t.co/1xJ3cZX2SD
1244974623684530200,Tue Mar 31 13:07:35 +0000 2020,How will Trump react when requests for help with the pandemic are coming from Republican governors? @PeterAtlantic… https://t.co/Wxyzv8lNMC
1244956484984660000,Tue Mar 31 11:55:30 +0000 2020,Exclusive: A company connected to Jared Kushner built a government coronavirus-testing website -- and says it did s… https://t.co/vKdlfsEiAb
1244389849429311500,Sun Mar 29 22:23:54 +0000 2020,RT @ColleenMNelson: Thanks to CNN’s @brianstelter for featuring today’s @KCStar on @ReliableSources and for sending an important message —…
1243594113297068000,Fri Mar 27 17:41:56 +0000 2020,“When it feels wrong, it’s the time to do it. By the time it feels right, it’s too late.” Todd S. Purdum speaks wit… https://t.co/IeoRoziwHE
1243242414606819300,Thu Mar 26 18:24:24 +0000 2020,RT @TheJohnsonPost: Here's a good piece (@PeterAtlantic) making the case that ONLY government can respond effectively at a time like this,…
1242984280302801000,Thu Mar 26 01:18:40 +0000 2020,RT @hookjan: In his first Zoom press briefing, @JoeBiden seemed antsy, being out of power: "I'm chomping at the bit. I wish I were still in…
1242938174315401200,Wed Mar 25 22:15:28 +0000 2020,RT @PhilipRucker: Self congratulation, a feature of the daily coronavirus news conferences at the White House, is especially pronounced tod…
1242871868920651800,Wed Mar 25 17:51:59 +0000 2020,@jtfdenver Hoyt hall?
1242800819180916700,Wed Mar 25 13:09:40 +0000 2020,The making of a Trump tweet: Treasury Sec. Mnuchin, to Sen. Lindsey Graham, to Pres. Trump. https://t.co/C8qvHnr59y
1242589553266999300,Tue Mar 24 23:10:10 +0000 2020,RT @TheAtlantic: Senator Lindsey Graham told @PeterAtlantic that he warned Trump of the risks of reopening the country too fast. But others…
1242563141441028000,Tue Mar 24 21:25:13 +0000 2020,RT @AdrienneLaF: In which @LindseyGrahamSC warns @realDonaldTrump against "deviating from sound advice," and implores him to "err on the si…
1242558362283376600,Tue Mar 24 21:06:13 +0000 2020,RT @nora_kelly: .@GrahamBlog to @PeterAtlantic: "The economy can recover. Once a person is dead, that’s it.” https://t.co/5S60Wslf9S
1242557468124872700,Tue Mar 24 21:02:40 +0000 2020,Senator Lindsey Graham told @PeterAtlantic that he warned Trump of the risks of reopening the government too fast.… https://t.co/tGEs59BAnP
1242504425685516300,Tue Mar 24 17:31:54 +0000 2020,"Is everything cool with you and Dr. Fauci?" Fox News host asks Pres. Trump, noting that Fauci is not present at to… https://t.co/ILa9FyhaFM
1242271033694003200,Tue Mar 24 02:04:29 +0000 2020,RT @smerconish: ENCORE: welcoming @PeterAtlantic back to @SXMPOTUS @SIRIUSXM to discuss: Anthony Fauci’s Plan to Stay Honest https://t.co/z…
1242260989522870300,Tue Mar 24 01:24:34 +0000 2020,NY. Gov. Andrew Cuomo, on CNN just now. "Just order a company to produce the darn ventilators."
1242257609262010400,Tue Mar 24 01:11:08 +0000 2020,CNN"s Chris Cuomo, to his brother, Gov. Andrew Cuomo: "You have a little of Pop's gift where you just keep going."… https://t.co/mkSzva3a4A
1242256044379844600,Tue Mar 24 01:04:55 +0000 2020,@jgolen Thanks, @jgolen. Keep reading.
1242255135159410700,Tue Mar 24 01:01:18 +0000 2020,Re-upping my interview with Dr. Fauci, in light of his absence at Pres. Trump's coronavirus briefing at the White H… https://t.co/8xScnPFU35
1242250802959249400,Tue Mar 24 00:44:05 +0000 2020,Rand Paul was worried enough to get a still-too-hard-to-obtain coronavirus test. But while he waited for the result… https://t.co/nxCSZOc6U3
1242245651846627300,Tue Mar 24 00:23:37 +0000 2020,RT @jwgop: Somehow, befuddling, not one person could ask: Where the holy hell is the one person we all trust? Where is Dr. Fauci?
1242115582889275400,Mon Mar 23 15:46:47 +0000 2020,RT @TheAtlPolitics: Anthony Fauci tells @PeterAtlantic that he’s never seen a disease quite like COVID-19—or worked for a president quite l…
1242113504116723700,Mon Mar 23 15:38:31 +0000 2020,RT @peterbakernyt: One day last week they talked 20 times in a single day: The unlikely partnership of Mnuchin and Pelosi. @PeterAtlantic h…
1242090140094300200,Mon Mar 23 14:05:40 +0000 2020,RT @yarabayoumy: Anthony Fauci tells @PeterAtlantic that he’s never seen a disease quite like COVID-19—or worked for a president quite like…
1242089762791526400,Mon Mar 23 14:04:11 +0000 2020,RT @smerconish: welcoming @PeterAtlantic back to @SXMPOTUS @SiriusXM to discuss: Anthony Fauci’s Plan to Stay Honest https://t.co/zX2FNuTpKM
1242074799016480800,Mon Mar 23 13:04:43 +0000 2020,Politicians, military leaders and an educator peer into the future to predict how the coronavirus epidemic will cha… https://t.co/vJ6zjmCz4O
1242071811518615600,Mon Mar 23 12:52:51 +0000 2020,RT @jcartillier: "I don’t think they’re going to try to silence me. I think that would be foolish on their part. And I don’t even think the…
1242057672649781200,Mon Mar 23 11:56:40 +0000 2020,"At times when people fear death, they go along with measures that they believe, rightly or wrongly, will save them… https://t.co/jvKqayg9pL
1241868387237666800,Sun Mar 22 23:24:30 +0000 2020,RT @MoNscience: "In some respects, they welcome my voice out there telling the truth. I’m going to keep doing it. And no matter what happen…
1241867858570854400,Sun Mar 22 23:22:24 +0000 2020,RT @stavridisj: Watching coronavirus task force Sunday night — where is Dr Fouci?
1241861531316486100,Sun Mar 22 22:57:16 +0000 2020,RT @jdawsey1: "I don't think I'm going to learn much," Trump says, explaining why he doesn't plan to call any of his presidential predecess…
1241858583614062600,Sun Mar 22 22:45:33 +0000 2020,Pres. Trump, at press briefing just now: “Romney’s in isolation? Gee, that’s too bad.” Romney was the lone GOP sena… https://t.co/IKujQtg98Q
1241790890231857200,Sun Mar 22 18:16:34 +0000 2020,RT @mckaycoppins: Dr. Fauci talks to @PeterAtlantic about working with Trump: https://t.co/hghu4PfEG0 https://t.co/96SNqCByMW
1241761974687617000,Sun Mar 22 16:21:40 +0000 2020,RT @TheAtlantic: Anthony Fauci tells @PeterAtlantic that he’s never seen a disease quite like COVID-19—or worked for a president quite like…
1241736921522544600,Sun Mar 22 14:42:07 +0000 2020,RT @KerryLuft: Anthony Fauci tells @PeterAtlantic: "in some respects, they welcome my voice out there telling the truth. I’m going to keep…
1241736891067699200,Sun Mar 22 14:41:59 +0000 2020,RT @dannagal: https://t.co/bbiuOrF2qA https://t.co/Oyx8TrmG0X
1241731634413658000,Sun Mar 22 14:21:06 +0000 2020,@olgakhazan Thanks, @olgakhazan, author of so many smart, well-turned stories!
1241731189523779600,Sun Mar 22 14:19:20 +0000 2020,RT @olgakhazan: Sometimes, you can be so honest, experienced, and full of integrity that even Trump will listen to you: https://t.co/n3E8sc…
1241721375561330700,Sun Mar 22 13:40:20 +0000 2020,RT @mike_giglio: "I don’t think they’re going to try to silence me. ... And I don’t even think they want to. I think, in some respects, the…
1241721076410921000,Sun Mar 22 13:39:09 +0000 2020,The coronavirus’s devastating toll on jobs and businesses has only just begun, @russellberman reports: https://t.co/CmNiT6waLt
1241720591255814100,Sun Mar 22 13:37:13 +0000 2020,RT @nora_kelly: "He’s never seen a disease quite like COVID-19, nor has he ever worked for a president quite like Trump." Read @PeterAtlant…
